gene symbol,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:High,Proteomics-DB:High,HPA-Ab:,Mouse Infertility,Druggable,CITDBase
FGF8,0.78725836,0.780212602,No data,No data,No data,0.072851338,No data,0.5170358,fibroblast growth factor 8,TRUE,,,,,,
KISS1R,0.787186686,0.781578329,No data,No data,No data,0.141049022,No data,0.603093827,KISS1 receptor,TRUE,,,,,,
WDR11,0.785352712,0.780173641,No data,No data,No data,0.070807296,No data,0.598212178,WD repeat domain 11,TRUE,,,,,,
CLPP,0.784928786,0.782453808,No data,No data,No data,0.10667797,No data,0.524694316,caseinolytic mitochondrial matrix peptidase proteolytic subunit,TRUE,,,,,,
CYP21A2,0.783375433,0.781814787,No data,No data,No data,0.124851716,No data,No data,cytochrome P450 family 21 subfamily A member 2,TRUE,,,,,,
LARS2,0.782971798,0.781978933,No data,No data,No data,0.178715622,No data,No data,"leucyl-tRNA synthetase 2, mitochondrial",TRUE,,,,,,
PROP1,0.781828675,0.773508185,No data,No data,No data,0.106462356,No data,0.597503344,PROP paired-like homeobox 1,TRUE,,,,,,
CYP17A1,0.780520234,0.772728921,No data,0.036957985,No data,0.095273889,No data,0.462695499,cytochrome P450 family 17 subfamily A member 1,TRUE,,,,,,
BMP15,0.77540006,0.771563769,No data,No data,No data,0.05362805,No data,0.442294691,bone morphogenetic protein 15,TRUE,,,,,,
TACR3,0.774187674,0.769334047,No data,No data,No data,0.052036844,No data,0.570566705,tachykinin receptor 3,TRUE,,,,,,
MKKS,0.772724275,0.764248715,No data,No data,No data,0.117464489,No data,0.602867538,MKKS centrosomal shuttling protein,TRUE,,,,,,
STAR,0.769382207,0.764127569,No data,No data,No data,0.168991478,No data,0.539474554,steroidogenic acute regulatory protein,TRUE,,,,,,
BBS2,0.768813256,0.760328151,No data,No data,No data,0.127570041,No data,0.597163553,Bardet-Biedl syndrome 2,TRUE,,,,,,
HARS2,0.759444235,0.758560449,No data,No data,No data,0.116119594,No data,No data,"histidyl-tRNA synthetase 2, mitochondrial",TRUE,,,,,,
HSD17B3,0.759366558,0.759227965,No data,No data,No data,0.011087396,No data,No data,hydroxysteroid 17-beta dehydrogenase 3,TRUE,,,,,,
HSD17B4,0.757456384,0.752647383,No data,No data,No data,0.112380891,No data,0.523082794,hydroxysteroid 17-beta dehydrogenase 4,TRUE,,,,,,
GH1,0.756691174,0.748995985,No data,No data,No data,0.549256675,No data,0.580470405,growth hormone 1,TRUE,,,,,,
CYP19A1,0.753986053,0.746541875,No data,0.036957985,No data,0.336265669,No data,0.602723867,cytochrome P450 family 19 subfamily A member 1,TRUE,,,,,,
ARL6,0.753323216,0.752401597,No data,No data,No data,0.115202383,No data,No data,ADP ribosylation factor like GTPase 6,TRUE,,,,,,
RAB3GAP2,0.752787734,0.751852629,No data,No data,No data,0.116888088,No data,No data,RAB3 GTPase activating non-catalytic protein subunit 2,TRUE,,,,,,
RNF216,0.742208865,0.739275132,No data,No data,No data,0.234698662,No data,No data,ring finger protein 216,TRUE,,,,,,
GHRHR,0.742139227,0.73658621,No data,No data,No data,0.141455903,No data,0.595893802,growth hormone releasing hormone receptor,TRUE,,,,,,
MAGEL2,0.741902697,0.735433818,No data,No data,No data,0.31219116,No data,0.59181045,MAGE family member L2,TRUE,,,,,,
WNT4,0.740765388,0.737073513,No data,No data,No data,0.11508754,No data,0.579983419,Wnt family member 4,TRUE,,,,,,
TWNK,0.73245679,0.727637261,No data,No data,No data,0.385562325,No data,No data,twinkle mtDNA helicase,TRUE,,,,,,
LHX3,0.728815937,0.725368229,No data,No data,No data,0.050589225,No data,0.583419811,LIM homeobox 3,TRUE,,,,,,
FSHR,0.728785033,0.664505956,No data,0.511495638,No data,0.158235685,No data,0.602787951,follicle stimulating hormone receptor,TRUE,,,,,,
FSHB,0.728151337,0.711573878,0.332621869,No data,No data,0.031311627,No data,0.566060851,follicle stimulating hormone subunit beta,TRUE,,,,,,
SMCHD1,0.723591741,0.721206661,No data,No data,No data,0.107328594,No data,No data,structural maintenance of chromosomes flexible hinge domain containing 1,TRUE,,,,,,
TUBB8,0.716760888,0.715121733,No data,No data,No data,0.073761979,No data,No data,tubulin beta 8 class VIII,TRUE,,,,,,
PATL2,0.712936453,0.708164284,No data,No data,No data,0.075240299,No data,0.333619735,PAT1 homolog 2,TRUE,,,,,,
LHX4,0.710625165,0.710055101,No data,No data,No data,0.045605065,No data,No data,LIM homeobox 4,TRUE,,,,,,
POLR3B,0.710063098,0.710003965,No data,No data,No data,0.007391597,No data,No data,RNA polymerase III subunit B,TRUE,,,,,,
SPRY4,0.706131567,0.693266106,No data,No data,No data,0.025767929,No data,0.564451245,sprouty RTK signaling antagonist 4,TRUE,,,,,,
TBX19,0.698500391,0.691372687,No data,No data,No data,0.10609349,No data,0.502316513,T-box transcription factor 19,TRUE,,,,,,
MAP3K1,0.696262101,0.690087718,No data,No data,No data,No data,No data,0.493950662,mitogen-activated protein kinase kinase kinase 1,TRUE,,,,,,
SOX3,0.696190501,0.691676073,No data,No data,No data,0.020673886,No data,0.549946691,SRY-box transcription factor 3,TRUE,,,,,,
IL17RD,0.695169441,0.695169441,No data,No data,No data,No data,No data,No data,interleukin 17 receptor D,TRUE,,,,,,
DCAF17,0.692976462,0.692116361,No data,No data,No data,0.107512597,No data,No data,DDB1 and CUL4 associated factor 17,TRUE,,,,,,
ESR1,0.688625964,0.468719651,No data,0.555615531,No data,0.188509203,No data,0.606336973,estrogen receptor 1,TRUE,,,,,,
NSMF,0.688557516,0.687829174,No data,No data,No data,0.058267344,No data,No data,NMDA receptor synaptonuclear signaling and neuronal migration factor,TRUE,,,,,,
INSR,0.680863955,0.679216348,No data,No data,No data,0.074142311,No data,No data,insulin receptor,TRUE,,,,,,
PCSK1,0.680370732,0.674738496,No data,No data,No data,0.146985324,No data,0.601956392,proprotein convertase subtilisin/kexin type 1,TRUE,,,,,,
TRIM32,0.680050404,0.673155093,No data,No data,No data,0.047926181,No data,0.52095213,tripartite motif containing 32,TRUE,,,,,,
POLR3A,0.675203473,0.674851277,No data,No data,No data,0.015848816,No data,No data,RNA polymerase III subunit A,TRUE,,,,,,
LEPR,0.66962572,0.664096233,No data,No data,No data,0.120470302,No data,0.607525913,leptin receptor,TRUE,,,,,,
SEMA3A,0.668992342,0.665157897,No data,No data,No data,0.172550067,No data,No data,semaphorin 3A,TRUE,,,,,,
DUSP6,0.666428384,0.666264127,No data,No data,No data,0.007391597,No data,No data,dual specificity phosphatase 6,TRUE,,,,,,
FGF17,0.660264677,0.660264677,No data,No data,No data,No data,No data,No data,fibroblast growth factor 17,TRUE,,,,,,
SDCCAG8,0.651497691,0.636467843,No data,No data,No data,0.157277009,No data,0.587874833,SHH signaling and ciliogenesis regulator SDCCAG8,TRUE,,,,,,
CEP290,0.650062106,0.635344217,No data,No data,No data,0.1093731,No data,0.600782633,centrosomal protein 290,TRUE,,,,,,
LZTFL1,0.646838381,0.641437684,No data,No data,No data,0.123011366,No data,0.589662583,leucine zipper transcription factor like 1,TRUE,,,,,,
MKS1,0.644304469,0.630387767,No data,No data,No data,0.045740976,No data,0.600522274,MKS transition zone complex subunit 1,TRUE,,,,,,
TAC3,0.642605671,0.637473919,No data,No data,No data,0.107730474,No data,0.566656183,tachykinin precursor 3,TRUE,,,,,,
TTC8,0.632626789,0.6178007,No data,No data,No data,0.136331602,No data,0.590487471,tetratricopeptide repeat domain 8,TRUE,,,,,,
GHR,0.630742906,No data,No data,0.596352045,No data,0.19917673,No data,0.599294238,growth hormone receptor,TRUE,,,,,,
PHIP,0.62969554,0.618532951,No data,No data,No data,No data,No data,0.502316513,pleckstrin homology domain interacting protein,TRUE,,,,,,
WDPCP,0.627632024,0.613421108,No data,No data,No data,0.077971083,No data,0.595632457,WD repeat containing planar cell polarity effector,TRUE,,,,,,
MCM9,0.627219823,0.620953699,No data,No data,No data,No data,No data,0.501289902,minichromosome maintenance 9 homologous recombination repair factor,TRUE,,,,,,
LEP,0.623322187,0.614048042,No data,No data,No data,0.211657621,No data,0.606470726,leptin,TRUE,,,,,,
GATA4,0.621638436,0.615145136,No data,No data,No data,0.040089148,No data,0.493806947,GATA binding protein 4,TRUE,,,,,,
OTX2,0.611269106,0.604025094,No data,No data,No data,0.061254573,No data,0.540318027,orthodenticle homeobox 2,TRUE,,,,,,
SSTR5,0.609951006,No data,No data,0.602586725,No data,0.147285626,No data,No data,somatostatin receptor 5,TRUE,,,,,,
FLRT3,0.609293455,0.609293455,No data,No data,No data,No data,No data,No data,fibronectin leucine rich transmembrane protein 3,TRUE,,,,,,
POC1A,0.608424253,0.59543421,No data,No data,No data,0.018478993,No data,0.574157489,POC1 centriolar protein A,TRUE,,,,,,
NR3C1,0.607144914,No data,No data,0.576040237,No data,0.098979645,No data,0.578102586,nuclear receptor subfamily 3 group C member 1,TRUE,,,,,,
C8orf37,0.606755609,0.599869169,No data,No data,No data,0.089007148,No data,0.493950662,chromosome 8 open reading frame 37,TRUE,,,,,,
SSTR2,0.606524163,No data,No data,0.602586725,No data,0.078748766,No data,No data,somatostatin receptor 2,TRUE,,,,,,
LHB,0.604913761,0.591218858,No data,No data,No data,0.038805885,No data,0.594442331,luteinizing hormone subunit beta,TRUE,,,,,,
SSTR1,0.603469692,No data,No data,0.600784746,No data,0.053698926,No data,No data,somatostatin receptor 1,TRUE,,,,,,
ZP1,0.60346382,0.593801899,No data,No data,No data,0.143912342,No data,0.353835753,zona pellucida glycoprotein 1,TRUE,,,,,,
HS6ST1,0.603420095,0.603112112,No data,No data,No data,0.013859245,No data,No data,heparan sulfate 6-O-sulfotransferase 1,TRUE,,,,,,
SSTR3,0.601472575,No data,No data,0.600784746,No data,0.013756583,No data,No data,somatostatin receptor 3,TRUE,,,,,,
SSTR4,0.600383589,No data,No data,0.599829219,No data,0.011087396,No data,No data,somatostatin receptor 4,TRUE,,,,,,
OPRM1,0.598599606,No data,No data,0.572035494,No data,No data,No data,0.531282238,opioid receptor mu 1,TRUE,,,,,,
XRCC4,0.595762726,0.59543421,No data,No data,No data,0.014783194,No data,No data,X-ray repair cross complementing 4,TRUE,,,,,,
DRD2,0.595643921,No data,No data,0.562772015,No data,0.166365781,No data,0.583497778,dopamine receptor D2,TRUE,,,,,,
NDNF,0.586679788,0.586194714,No data,No data,No data,0.038805885,No data,No data,neuron derived neurotrophic factor,TRUE,,,,,,
BBIP1,0.584964267,0.570649775,No data,No data,No data,0.090547064,No data,0.593219417,BBSome interacting protein 1,TRUE,,,,,,
LHCGR,0.584637437,No data,No data,0.554404536,No data,0.011087396,No data,0.5997303,luteinizing hormone/choriogonadotropin receptor,TRUE,,,,,,
IFT27,0.574382909,0.561299404,No data,No data,No data,0.282964133,No data,0.429590384,intraflagellar transport 27,TRUE,,,,,,
AP002748.5,0.573348017,0.573348017,No data,No data,No data,No data,No data,No data,novel protein,TRUE,,,,,,
AL162231.3,0.573168975,0.573168975,No data,No data,No data,No data,No data,No data,novel protein (GALT-IL11RA readthrough),TRUE,,,,,,
GNRH1,0.565776626,0.557054878,No data,No data,No data,0.157305545,No data,0.597064347,gonadotropin releasing hormone 1,TRUE,,,,,,
HBA2,0.564138412,No data,No data,0.545962824,No data,0.06825495,No data,0.333176239,hemoglobin subunit alpha 2,TRUE,,,,,,
HBA1,0.563483989,No data,No data,0.545962824,No data,0.038805885,No data,0.333176239,hemoglobin subunit alpha 1,TRUE,,,,,,
RBM28,0.556891882,0.555396393,No data,No data,No data,0.119639159,No data,No data,RNA binding motif protein 28,TRUE,,,,,,
PSMC3IP,0.556438869,0.549236728,No data,No data,No data,0.056874233,No data,0.539771696,PSMC3 interacting protein,TRUE,,,,,,
TMEM67,0.555289083,0.54181647,No data,No data,No data,0.049082195,No data,0.578658835,transmembrane protein 67,TRUE,,,,,,
RRM2,0.554383272,No data,No data,0.554383272,No data,No data,No data,No data,ribonucleotide reductase regulatory subunit M2,TRUE,,,,,,
MRPS22,0.552809334,0.552521883,No data,No data,No data,0.012935295,No data,No data,mitochondrial ribosomal protein S22,TRUE,,,,,,
ZFPM2,0.549236728,0.549236728,No data,No data,No data,No data,No data,No data,"zinc finger protein, FOG family member 2",TRUE,,,,,,
AC093899.2,0.546103753,0.546103753,No data,No data,No data,No data,No data,No data,novel protein,TRUE,,,,,,
DRD3,0.543605153,No data,No data,0.526137988,No data,0.036957985,No data,0.332917533,dopamine receptor D3,TRUE,,,,,,
DTD1,0.543357811,0.543357811,No data,No data,No data,No data,No data,No data,D-aminoacyl-tRNA deacylase 1,TRUE,,,,,,
AR,0.532503665,No data,No data,0.499322916,No data,0.13364251,No data,0.604218306,androgen receptor,TRUE,,,,,,
ESR2,0.53100275,0.332621869,No data,0.434256329,No data,0.054119261,No data,0.581150817,estrogen receptor 2,TRUE,,,,,,
PGR,0.527073696,No data,No data,0.496705059,No data,0.058187834,No data,0.581511494,progesterone receptor,TRUE,,,,,,
AKR1C2,0.526877147,0.526137988,No data,No data,No data,0.014783194,No data,No data,aldo-keto reductase family 1 member C2,TRUE,,,,,,
DRD4,0.526137988,No data,No data,0.526137988,No data,No data,No data,No data,dopamine receptor D4,TRUE,,,,,,
NF1,0.524583841,0.497647487,No data,No data,No data,0.538727069,No data,No data,neurofibromin 1,TRUE,,,,,,
ZP3,0.521469678,0.5081723,No data,No data,No data,0.133293081,No data,0.523404637,zona pellucida glycoprotein 3,TRUE,,,,,,
SELP,0.518691835,No data,No data,0.513984855,No data,0.094139613,No data,No data,selectin P,TRUE,,,,,,
TRIP13,0.517588586,0.486829064,No data,No data,No data,0.048045381,No data,0.593836947,thyroid hormone receptor interactor 13,TRUE,,,,,,
SOHLH1,0.515563897,0.515563897,No data,No data,No data,No data,No data,No data,spermatogenesis and oogenesis specific basic helix-loop-helix 1,TRUE,,,,,,
LEPROT,0.515530249,0.505337556,No data,No data,No data,No data,No data,0.458671185,leptin receptor overlapping transcript,TRUE,,,,,,
AC127029.3,0.511169882,0.511169882,No data,No data,No data,No data,No data,No data,novel protein,TRUE,,,,,,
FEZF1,0.509224006,0.5081723,No data,No data,No data,0.047326754,No data,No data,FEZ family zinc finger 1,TRUE,,,,,,
RNPC3,0.508729818,0.5081723,No data,No data,No data,0.025088312,No data,No data,"RNA binding region (RNP1, RRM) containing 3",TRUE,,,,,,
SEMA3E,0.502927642,0.499642622,No data,No data,No data,0.147825882,No data,No data,semaphorin 3E,TRUE,,,,,,
GRIN2A,0.502781965,No data,No data,0.501858016,No data,0.018478993,No data,No data,glutamate ionotropic receptor NMDA type subunit 2A,TRUE,,,,,,
WEE2,0.4996232,0.49606856,No data,No data,No data,0.071092791,No data,No data,WEE2 oocyte meiosis inhibiting kinase,TRUE,,,,,,
NUP107,0.498932804,0.498932804,No data,No data,No data,No data,No data,No data,nucleoporin 107,TRUE,,,,,,
PTGS2,0.497407687,No data,No data,0.466081261,No data,0.063074868,No data,0.598495244,prostaglandin-endoperoxide synthase 2,TRUE,,,,,,
CCDC28B,0.491162023,0.489693307,No data,No data,No data,0.066092219,No data,No data,coiled-coil domain containing 28B,TRUE,,,,,,
ERAL1,0.481698291,0.480681947,No data,No data,No data,0.081307568,No data,No data,Era like 12S mitochondrial rRNA chaperone 1,TRUE,,,,,,
GRIN1,0.478865852,No data,No data,0.452098823,No data,0.018478993,No data,0.527127692,glutamate ionotropic receptor NMDA type subunit 1,TRUE,,,,,,
ZP2,0.47718174,0.452735322,No data,No data,No data,0.069501545,No data,0.458038793,zona pellucida glycoprotein 2,TRUE,,,,,,
IFT172,0.476912167,0.445343725,No data,No data,No data,0.108632802,No data,0.583087598,intraflagellar transport 172,TRUE,,,,,,
BTG4,0.476388433,0.473524189,No data,No data,No data,0.057284877,No data,No data,BTG anti-proliferation factor 4,TRUE,,,,,,
PANX1,0.474078559,0.473524189,No data,No data,No data,0.011087396,No data,No data,pannexin 1,TRUE,,,,,,
IL11RA,0.470495687,0.447396946,No data,No data,No data,No data,No data,0.461974818,interleukin 11 receptor subunit alpha,TRUE,,,,,,
SRY,0.469697482,0.454583221,No data,No data,No data,0.152928577,No data,0.594119392,sex determining region Y,TRUE,,,,,,
GRIN2D,0.469265808,No data,No data,0.452098823,No data,No data,No data,0.343339685,glutamate ionotropic receptor NMDA type subunit 2D,TRUE,,,,,,
PTGS1,0.467101456,No data,No data,0.466081261,No data,0.020403888,No data,No data,prostaglandin-endoperoxide synthase 1,TRUE,,,,,,
KISS1,0.466595099,0.453197297,No data,No data,No data,0.041729464,No data,0.579428277,KiSS-1 metastasis suppressor,TRUE,,,,,,
BTK,0.463145155,0.462898768,No data,No data,No data,0.011087396,No data,No data,Bruton tyrosine kinase,TRUE,,,,,,
ERCC4,0.461974818,0.461974818,No data,No data,No data,No data,No data,No data,"ERCC excision repair 4, endonuclease catalytic subunit",TRUE,,,,,,
GRIN3A,0.454870672,No data,No data,0.452098823,No data,0.055436978,No data,No data,glutamate ionotropic receptor NMDA type subunit 3A,TRUE,,,,,,
IFT74,0.454008319,0.452735322,No data,No data,No data,0.057284877,No data,No data,intraflagellar transport 74,TRUE,,,,,,
DMXL2,0.453225814,0.452735322,No data,No data,No data,0.02207213,No data,No data,Dmx like 2,TRUE,,,,,,
GRIN3B,0.452098823,No data,No data,0.452098823,No data,No data,No data,No data,glutamate ionotropic receptor NMDA type subunit 3B,TRUE,,,,,,
GRIN2C,0.452098823,No data,No data,0.452098823,No data,No data,No data,No data,glutamate ionotropic receptor NMDA type subunit 2C,TRUE,,,,,,
GRIN2B,0.452098823,No data,No data,0.452098823,No data,No data,No data,No data,glutamate ionotropic receptor NMDA type subunit 2B,TRUE,,,,,,
BCL11A,0.449943597,0.440527234,No data,No data,No data,0.188327265,No data,No data,BAF chromatin remodeling complex subunit BCL11A,TRUE,,,,,,
HERC2,0.425642033,0.398127845,No data,No data,No data,0.022482774,No data,0.540291418,HECT and RLD domain containing E3 ubiquitin protein ligase 2,TRUE,,,,,,
RPE65,0.417367665,0.390112069,No data,No data,No data,No data,No data,0.54511192,retinoid isomerohydrolase RPE65,TRUE,,,,,,
ZNF596,0.415777337,0.415777337,No data,No data,No data,No data,No data,No data,zinc finger protein 596,TRUE,,,,,,
SIGMAR1,0.415777337,0.184789927,No data,0.369579855,No data,No data,No data,No data,sigma non-opioid intracellular receptor 1,TRUE,,,,,,
PRLR,0.406567439,0.369579855,No data,No data,No data,0.481605839,No data,0.525704655,prolactin receptor,TRUE,,,,,,
AIP,0.402293911,0.369579855,No data,No data,No data,0.381068147,No data,0.484917514,aryl hydrocarbon receptor interacting protein,TRUE,,,,,,
SNRPN,0.401169752,0.369579855,No data,No data,No data,0.226160359,No data,0.531282238,small nuclear ribonucleoprotein polypeptide N,TRUE,,,,,,
AIRE,0.398897874,0.369579855,No data,No data,No data,0.007391597,No data,0.583075228,autoimmune regulator,TRUE,,,,,,
ADRB1,0.398646841,0.000260934,No data,0.398581607,No data,No data,No data,No data,adrenoceptor beta 1,TRUE,,,,,,
GUCY2C,0.398369203,0.369579855,No data,No data,No data,No data,No data,0.575786958,guanylate cyclase 2C,TRUE,,,,,,
PDE5A,0.396940433,No data,No data,0.394475164,No data,0.049305369,No data,No data,phosphodiesterase 5A,TRUE,,,,,,
MC2R,0.39469568,0.369579855,No data,No data,No data,No data,No data,0.502316513,melanocortin 2 receptor,TRUE,,,,,,
OPRK1,0.39216529,No data,No data,0.39216529,No data,No data,No data,No data,opioid receptor kappa 1,TRUE,,,,,,
KLB,0.386758725,0.369579855,No data,No data,No data,0.02207213,No data,0.333767567,klotho beta,TRUE,,,,,,
OPRD1,0.378819351,No data,No data,0.378819351,No data,No data,No data,No data,opioid receptor delta 1,TRUE,,,,,,
LARP7,0.370642397,0.369579855,No data,No data,No data,0.021250842,No data,No data,"La ribonucleoprotein 7, transcriptional regulator",TRUE,,,,,,
TRPV1,0.370319014,No data,No data,0.369579855,No data,0.014783194,No data,No data,transient receptor potential cation channel subfamily V member 1,TRUE,,,,,,
DMRT1,0.369949435,0.369579855,No data,No data,No data,0.007391597,No data,No data,doublesex and mab-3 related transcription factor 1,TRUE,,,,,,
SOX10,0.369911204,0.340013466,No data,No data,No data,0.133397108,No data,0.538667145,SRY-box transcription factor 10,TRUE,,,,,,
