,gene symbol,ensembl ID,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:Low,Proteomics-DB:Low,HPA-Ab:,Mouse Infertility,Druggable,CITDBase
30,TACR3,ENSG00000169836,0.7741876743721048,0.7693340471560087,No data,No data,No data,0.05203684353960601,No data,0.5705667051095038,tachykinin receptor 3,True,,,,,,
31,MKKS,ENSG00000125863,0.772724274955648,0.7642487148122682,No data,No data,No data,0.11746448917444027,No data,0.6028675383987433,MKKS centrosomal shuttling protein,True,,,,,,
32,STAR,ENSG00000147465,0.769382206809554,0.7641275688318275,No data,No data,No data,0.1689914784998052,No data,0.5394745538131598,steroidogenic acute regulatory protein,True,,,,,,
33,BBS2,ENSG00000125124,0.7688132561167823,0.760328151375147,No data,No data,No data,0.12757004051820123,No data,0.5971635533991825,Bardet-Biedl syndrome 2,True,,,,,,
34,HARS2,ENSG00000125821,0.7594442352867227,0.7585604494030188,No data,No data,No data,0.11611959435399569,No data,No data,"histidyl-tRNA synthetase 2, mitochondrial",True,,,,,,
35,HSD17B3,ENSG00000130948,0.759366557545248,0.7592279650997411,No data,No data,No data,0.011087395640541052,No data,No data,hydroxysteroid 17-beta dehydrogenase 3,True,—,CTB,—,—,Y,True
36,HSD17B4,ENSG00000133835,0.7574563838115616,0.7526473831762724,No data,No data,No data,0.11238089083855342,No data,0.5230827941065778,hydroxysteroid 17-beta dehydrogenase 4,True,,,,,,
37,GH1,ENSG00000259384,0.7566911737299427,0.7489959845147759,No data,No data,No data,0.5492566753385881,No data,0.580470405132944,growth hormone 1,True,,,,,,
38,CYP19A1,ENSG00000137869,0.7539860530572284,0.7465418749099731,No data,0.03695798546847018,No data,0.33626566922058954,No data,0.6027238673846115,cytochrome P450 family 19 subfamily A member 1,True,,,,,,
39,ARL6,ENSG00000113966,0.7533232158652111,0.7524015968013648,No data,No data,No data,0.11520238298079653,No data,No data,ADP ribosylation factor like GTPase 6,True,,,,,,
40,RAB3GAP2,ENSG00000118873,0.7527877338097841,0.7518526291035834,No data,No data,No data,0.11688808827509499,No data,No data,RAB3 GTPase activating non-catalytic protein subunit 2,True,,,,,,
41,RNF216,ENSG00000011275,0.7422088650511255,0.7392751317815822,No data,No data,No data,0.23469866156346245,No data,No data,ring finger protein 216,True,,,,,,
42,GHRHR,ENSG00000106128,0.7421392269909467,0.736586210447717,No data,No data,No data,0.14145590349509554,No data,0.5958938015876672,growth hormone releasing hormone receptor,True,,,,,,
43,MAGEL2,ENSG00000254585,0.7419026973395242,0.735433818408754,No data,No data,No data,0.3121911598348706,No data,0.591810449794281,MAGE family member L2,True,,,,,,
44,WNT4,ENSG00000162552,0.7407653884902177,0.7370735133233212,No data,No data,No data,0.1150875401340983,No data,0.5799834189224438,Wnt family member 4,True,,,,,,
45,TWNK,ENSG00000107815,0.7324567903178579,0.7276372612525288,No data,No data,No data,0.38556232522633255,No data,No data,twinkle mtDNA helicase,True,,,,,,
46,LHX3,ENSG00000107187,0.72881593718834,0.7253682293860476,No data,No data,No data,0.05058922464169487,No data,0.5834198107983322,LIM homeobox 3,True,,,,,,
47,FSHR,ENSG00000170820,0.7287850331855633,0.6645059556709285,No data,0.5114956380882747,No data,0.1582356851747493,No data,0.6027879507610016,follicle stimulating hormone receptor,True,,,,,,
48,FSHB,ENSG00000131808,0.7281513374063339,0.7115738775761618,0.3326218692162316,No data,No data,0.031311626577453906,No data,0.5660608507314754,follicle stimulating hormone subunit beta,True,,,,,,
49,SMCHD1,ENSG00000101596,0.7235917413234624,0.7212066614495919,No data,No data,No data,0.1073285943241729,No data,No data,structural maintenance of chromosomes flexible hinge domain containing 1,True,,,,,,
50,TUBB8,ENSG00000261456,0.7167608879171787,0.7151217328209383,No data,No data,No data,0.07376197933082174,No data,No data,tubulin beta 8 class VIII,True,,,,,,
51,PATL2,ENSG00000229474,0.7129364526209723,0.7081642835456773,No data,No data,No data,0.07524029874956055,No data,0.3336197348238803,PAT1 homolog 2,True,,,,,,
52,LHX4,ENSG00000121454,0.7106251646098205,0.7100551013022746,No data,No data,No data,0.045605064603667964,No data,No data,LIM homeobox 4,True,,,,,,
53,POLR3B,ENSG00000013503,0.7100630980543601,0.7100039652776104,No data,No data,No data,0.007391597093694037,No data,No data,RNA polymerase III subunit B,True,,,,,,
54,SPRY4,ENSG00000187678,0.7061315665173561,0.6932661063977097,No data,No data,No data,0.025767928757183374,No data,0.5644512454581724,sprouty RTK signaling antagonist 4,True,,,,,,
55,TBX19,ENSG00000143178,0.698500390980187,0.6913726866546731,No data,No data,No data,0.10609348957029527,No data,0.5023165127161273,T-box transcription factor 19,True,,,,,,
56,MAP3K1,ENSG00000095015,0.6962621008286981,0.6900877175529349,No data,No data,No data,No data,No data,0.4939506620610561,mitogen-activated protein kinase kinase kinase 1,True,,,,,,
57,SOX3,ENSG00000134595,0.6961905013342399,0.6916760728785218,No data,No data,No data,0.020673886426779236,No data,0.5499466913906145,SRY-box transcription factor 3,True,CTB,—,—,M,—,True
58,IL17RD,ENSG00000144730,0.6951694405548495,0.6951694405548495,No data,No data,No data,No data,No data,No data,interleukin 17 receptor D,True,,,,,,
59,DCAF17,ENSG00000115827,0.6929764616355623,0.6921163608617561,No data,No data,No data,0.10751259672577157,No data,No data,DDB1 and CUL4 associated factor 17,True,,,,,,
60,ESR1,ENSG00000091831,0.6886259635916882,0.46871965070387306,No data,0.5556155309143782,No data,0.18850920340694968,No data,0.6063369731439667,estrogen receptor 1,True,F,—,—,CTB,Y,True
61,NSMF,ENSG00000165802,0.6885575157955679,0.6878291739965283,No data,No data,No data,0.0582673439231656,No data,No data,NMDA receptor synaptonuclear signaling and neuronal migration factor,True,,,,,,
62,INSR,ENSG00000171105,0.6808639552129673,0.6792163482985755,No data,No data,No data,0.07414231114762816,No data,No data,insulin receptor,True,,,,,,
63,PCSK1,ENSG00000175426,0.6803707322103155,0.6747384959403088,No data,No data,No data,0.14698532442400886,No data,0.6019563917897436,proprotein convertase subtilisin/kexin type 1,True,,,,,,
64,TRIM32,ENSG00000119401,0.6800504041248415,0.6731550930576159,No data,No data,No data,0.0479261807531209,No data,0.5209521296960481,tripartite motif containing 32,True,,,,,,
65,POLR3A,ENSG00000148606,0.6752034727460624,0.6748512768326906,No data,No data,No data,0.015848816101728964,No data,No data,RNA polymerase III subunit A,True,,,,,,
66,LEPR,ENSG00000116678,0.6696257198564938,0.6640962330983465,No data,No data,No data,0.12047030181172215,No data,0.6075259129547038,leptin receptor,True,,,,,,
67,SEMA3A,ENSG00000075213,0.6689923424819035,0.6651578965507455,No data,No data,No data,0.17255006690211364,No data,No data,semaphorin 3A,True,,,,,,
68,DUSP6,ENSG00000139318,0.6664283843351524,0.6662641266219592,No data,No data,No data,0.007391597093694037,No data,No data,dual specificity phosphatase 6,True,,,,,,
69,FGF17,ENSG00000158815,0.6602646765012942,0.6602646765012942,No data,No data,No data,No data,No data,No data,fibroblast growth factor 17,True,,,,,,
70,SDCCAG8,ENSG00000054282,0.6514976912450094,0.6364678434626334,No data,No data,No data,0.15727700885951487,No data,0.5878748327234491,SHH signaling and ciliogenesis regulator SDCCAG8,True,,,,,,
71,CEP290,ENSG00000198707,0.6500621056717364,0.6353442167430893,No data,No data,No data,0.10937309950247104,No data,0.600782633318979,centrosomal protein 290,True,,,,,,
72,LZTFL1,ENSG00000163818,0.6468383808348351,0.6414376836884701,No data,No data,No data,0.12301136645124906,No data,0.5896625832600503,leucine zipper transcription factor like 1,True,,,,,,
73,GDF9,ENSG00000164404,0.6456750871770544,0.6333161454305348,No data,No data,No data,0.013756583479930565,No data,0.548414300385914,growth differentiation factor 9,True,—,—,CTB,F,Y,True
74,MKS1,ENSG00000011143,0.6443044687117144,0.6303877670778181,No data,No data,No data,0.04574097645454969,No data,0.6005222742696528,MKS transition zone complex subunit 1,True,,,,,,
75,TAC3,ENSG00000166863,0.6426056708938518,0.6374739187957378,No data,No data,No data,0.10773047441917566,No data,0.566656182806501,tachykinin precursor 3,True,,,,,,
76,TTC8,ENSG00000165533,0.6326267889098548,0.6178007000893105,No data,No data,No data,0.13633160240128817,No data,0.5904874705737686,tetratricopeptide repeat domain 8,True,,,,,,
77,GHR,ENSG00000112964,0.6307429060902005,No data,No data,0.5963520446577636,No data,0.1991767300363842,No data,0.5992942375214549,growth hormone receptor,True,,,,,,
78,PHIP,ENSG00000146247,0.6296955404146164,0.6185329512431468,No data,No data,No data,No data,No data,0.5023165127161273,pleckstrin homology domain interacting protein,True,,,,,,
79,WDPCP,ENSG00000143951,0.6276320238155255,0.6134211084640213,No data,No data,No data,0.07797108323139751,No data,0.5956324565000337,WD repeat containing planar cell polarity effector,True,,,,,,
80,MCM9,ENSG00000111877,0.6272198230664399,0.6209536992913316,No data,No data,No data,No data,No data,0.5012899020086699,minichromosome maintenance 9 homologous recombination repair factor,True,,,,,,
81,LEP,ENSG00000174697,0.62332218740763,0.6140480423675485,No data,No data,No data,0.2116576211941101,No data,0.6064707256422947,leptin,True,,,,,,
82,GATA4,ENSG00000136574,0.6216384359288982,0.6151451359085369,No data,No data,No data,0.04008914812621557,No data,0.4938069468281192,GATA binding protein 4,True,,,,,,
83,OTX2,ENSG00000165588,0.6112691061340624,0.6040250942092384,No data,No data,No data,0.061254572733435375,No data,0.5403180274365139,orthodenticle homeobox 2,True,,,,,,
84,SSTR5,ENSG00000162009,0.6099510062952762,No data,No data,0.6025867249857743,No data,0.14728562619003938,No data,No data,somatostatin receptor 5,True,,,,,,
85,FLRT3,ENSG00000125848,0.6092934548760293,0.6092934548760293,No data,No data,No data,No data,No data,No data,fibronectin leucine rich transmembrane protein 3,True,,,,,,
86,POC1A,ENSG00000164087,0.6084242530464934,0.5954342103253529,No data,No data,No data,0.01847899273423509,No data,0.5741574890383189,POC1 centriolar protein A,True,,,,,,
87,NR3C1,ENSG00000113580,0.6071449142213408,No data,No data,0.576040237267778,No data,0.09897964474880787,No data,0.5781025858495615,nuclear receptor subfamily 3 group C member 1,True,,,,,,
88,C8orf37,ENSG00000156172,0.606755609044025,0.5998691685815694,No data,No data,No data,0.08900714833656567,No data,0.4939506620610561,chromosome 8 open reading frame 37,True,,,,,,
89,SSTR2,ENSG00000180616,0.6065241633009771,No data,No data,0.6025867249857743,No data,0.07874876630405651,No data,No data,somatostatin receptor 2,True,,,,,,
90,LHB,ENSG00000104826,0.6049137610292991,0.5912188578861078,No data,No data,No data,0.03880588474189369,No data,0.5944423312762863,luteinizing hormone subunit beta,True,,,,,,
91,SSTR1,ENSG00000139874,0.6034696921472875,No data,No data,0.6007847458335385,No data,0.05369892627497971,No data,No data,somatostatin receptor 1,True,,,,,,
92,ZP1,ENSG00000149506,0.603463820308464,0.5938018993004954,No data,No data,No data,0.14391234219280793,No data,0.3538357528751335,zona pellucida glycoprotein 1,True,,,,,,
93,HS6ST1,ENSG00000136720,0.6034200951310199,0.6031121119187826,No data,No data,No data,0.013859244550676317,No data,No data,heparan sulfate 6-O-sulfotransferase 1,True,,,,,,
94,SSTR3,ENSG00000278195,0.601472575007535,No data,No data,0.6007847458335385,No data,0.013756583479930565,No data,No data,somatostatin receptor 3,True,,,,,,
95,SSTR4,ENSG00000132671,0.6003835886496928,No data,No data,0.5998292188676657,No data,0.011087395640541052,No data,No data,somatostatin receptor 4,True,,,,,,
96,OPRM1,ENSG00000112038,0.5985996058377645,No data,No data,0.5720354939449456,No data,No data,No data,0.531282237856378,opioid receptor mu 1,True,,,,,,
97,XRCC4,ENSG00000152422,0.5957627257517393,0.5954342103253529,No data,No data,No data,0.014783194187388073,No data,No data,X-ray repair cross complementing 4,True,,,,,,
98,DRD2,ENSG00000149295,0.5956439207530208,No data,No data,0.5627720145085219,No data,0.1663657811296504,No data,0.5834977777212461,dopamine receptor D2,True,,,,,,
99,NDNF,ENSG00000173376,0.5866797875175089,0.5861947139582353,No data,No data,No data,0.03880588474189369,No data,No data,neuron derived neurotrophic factor,True,,,,,,
100,BBIP1,ENSG00000214413,0.5849642666449713,0.5706497746259138,No data,No data,No data,0.09054706439775193,No data,0.5932194171338516,BBSome interacting protein 1,True,,,,,,
101,LHCGR,ENSG00000138039,0.5846374372829323,No data,No data,0.554404535736329,No data,0.011087395640541052,No data,0.5997302995362712,luteinizing hormone/choriogonadotropin receptor,True,,,,,,
102,IFT27,ENSG00000100360,0.5743829089352562,0.561299404302391,No data,No data,No data,0.28296413313744156,No data,0.4295903835891302,intraflagellar transport 27,True,,,,,,
103,AP002748.5,,0.573348017470872,0.573348017470872,No data,No data,No data,No data,No data,No data,novel protein,True,,,,,,
104,AL162231.3,,0.5731689753347768,0.5731689753347768,No data,No data,No data,No data,No data,No data,novel protein (GALT-IL11RA readthrough),True,,,,,,
105,GNRH1,ENSG00000147437,0.5657766262482705,0.5570548775509413,No data,No data,No data,0.1573055445077226,No data,0.5970643473013897,gonadotropin releasing hormone 1,True,,,,,,
106,HBA2,ENSG00000206172,0.564138412357538,No data,No data,0.5459628237375089,No data,0.06825495015522648,No data,0.33317623899825866,hemoglobin subunit alpha 2,True,,,,,,
107,HBA1,ENSG00000188536,0.5634839886816861,No data,No data,0.5459628237375089,No data,0.03880588474189369,No data,0.33317623899825866,hemoglobin subunit alpha 1,True,,,,,,
108,RBM28,ENSG00000106344,0.5568918822173312,0.5553963927345102,No data,No data,No data,0.11963915862568272,No data,No data,RNA binding motif protein 28,True,,,,,,
109,PSMC3IP,ENSG00000131470,0.5564388685555144,0.5492367284897651,No data,No data,No data,0.05687423319314577,No data,0.5397716960163262,PSMC3 interacting protein,True,,,,,,
110,TMEM67,ENSG00000164953,0.5552890827540384,0.541816470101218,No data,No data,No data,0.04908219506982652,No data,0.5786588346501398,transmembrane protein 67,True,,,,,,
111,RRM2,ENSG00000171848,0.5543832716671702,No data,No data,0.5543832716671702,No data,No data,No data,No data,ribonucleotide reductase regulatory subunit M2,True,,,,,,
112,MRPS22,ENSG00000175110,0.5528093337517173,0.5525218827536291,No data,No data,No data,0.01293529491396456,No data,No data,mitochondrial ribosomal protein S22,True,,,,,,
113,ZFPM2,ENSG00000169946,0.5492367284897651,0.5492367284897651,No data,No data,No data,No data,No data,No data,"zinc finger protein, FOG family member 2",True,,,,,,
114,AC093899.2,,0.5461037530056947,0.5461037530056947,No data,No data,No data,No data,No data,No data,novel protein,True,,,,,,
115,DRD3,ENSG00000151577,0.5436051527929363,No data,No data,0.5261379875719714,No data,0.03695798546847018,No data,0.3329175330999794,dopamine receptor D3,True,,,,,,
116,DTD1,ENSG00000125821,0.5433578108466514,0.5433578108466514,No data,No data,No data,No data,No data,No data,D-aminoacyl-tRNA deacylase 1,True,,,,,,
117,AR,ENSG00000169083,0.5325036647690015,No data,No data,0.49932291589318123,No data,0.13364251021876797,No data,0.6042183063080631,androgen receptor,True,,,,,,
118,ESR2,ENSG00000140009,0.5310027499111931,0.3326218692162316,No data,0.4342563292545246,No data,0.05411926050596678,No data,0.5811508168328732,estrogen receptor 2,True,CTB,—,—,CTB,Y,True
119,PGR,ENSG00000082175,0.5270736962935033,No data,No data,0.4967050585891646,No data,0.05818783413977597,No data,0.5815114944690957,progesterone receptor,True,F,—,—,F,Y,True
120,AKR1C2,ENSG00000151632,0.5268771472813407,0.5261379875719714,No data,No data,No data,0.014783194187388073,No data,No data,aldo-keto reductase family 1 member C2,True,,,,,,
121,DRD4,ENSG00000069696,0.5261379875719714,No data,No data,0.5261379875719714,No data,No data,No data,No data,dopamine receptor D4,True,,,,,,
122,NF1,ENSG00000196712,0.5245838406564691,0.49764748721861063,No data,No data,No data,0.53872706875717,No data,No data,neurofibromin 1,True,,,,,,
123,ZP3,ENSG00000188372,0.5214696778502533,0.5081723001914649,No data,No data,No data,0.13329308103486753,No data,0.5234046365633657,zona pellucida glycoprotein 3,True,,,,,,
124,SELP,ENSG00000174175,0.5186918354333959,No data,No data,0.5139848547852752,No data,0.09413961296241387,No data,No data,selectin P,True,,,,,,
125,TRIP13,ENSG00000071539,0.5175885860711493,0.4868290635834234,No data,No data,No data,0.048045381109011236,No data,0.5938369470394038,thyroid hormone receptor interactor 13,True,,,,,,
126,SOHLH1,ENSG00000165643,0.515563897285159,0.515563897285159,No data,No data,No data,No data,No data,No data,spermatogenesis and oogenesis specific basic helix-loop-helix 1,True,,,,,,
127,LEPROT,ENSG00000213625,0.5155302486642749,0.5053375556620687,No data,No data,No data,No data,No data,0.458671185099279,leptin receptor overlapping transcript,True,,,,,,
128,AC127029.3,,0.5111698820975052,0.5111698820975052,No data,No data,No data,No data,No data,No data,novel protein,True,,,,,,
129,FEZF1,ENSG00000128610,0.509224005827327,0.5081723001914649,No data,No data,No data,0.047326753613790976,No data,No data,FEZ family zinc finger 1,True,,,,,,
130,RNPC3,ENSG00000185946,0.5087298182463281,0.5081723001914649,No data,No data,No data,0.0250883124688465,No data,No data,"RNA binding region (RNP1, RRM) containing 3",True,,,,,,
131,SEMA3E,ENSG00000170381,0.5029276420509227,0.4996426224569666,No data,No data,No data,0.14782588172802089,No data,No data,semaphorin 3E,True,,,,,,
132,GRIN2A,ENSG00000183454,0.5027819654401452,No data,No data,0.5018580158034335,No data,0.01847899273423509,No data,No data,glutamate ionotropic receptor NMDA type subunit 2A,True,,,,,,
133,WEE2,ENSG00000214102,0.4996231995251126,0.49606855995054094,No data,No data,No data,0.07109279149143222,No data,No data,WEE2 oocyte meiosis inhibiting kinase,True,,,,,,
134,NUP107,ENSG00000111581,0.4989328038243473,0.49893280382434735,No data,No data,No data,No data,No data,No data,nucleoporin 107,True,,,,,,
135,PTGS2,ENSG00000073756,0.4974076871163982,No data,No data,0.46608126118570725,No data,0.06307486758561393,No data,0.5984952441313247,prostaglandin-endoperoxide synthase 2,True,,,,,,
136,CCDC28B,ENSG00000160050,0.4911620234358888,0.4896933074572299,No data,No data,No data,0.06609221903965201,No data,No data,coiled-coil domain containing 28B,True,,,,,,
137,ERAL1,ENSG00000132591,0.4816982914032635,0.4806819468028806,No data,No data,No data,0.08130756803063438,No data,No data,Era like 12S mitochondrial rRNA chaperone 1,True,,,,,,
138,GRIN1,ENSG00000176884,0.4788658522143438,No data,No data,0.452098823350136,No data,0.01847899273423509,No data,0.5271276916244957,glutamate ionotropic receptor NMDA type subunit 1,True,,,,,,
139,ZP2,ENSG00000103310,0.4771817404093756,0.4527353219887597,No data,No data,No data,0.06950154489487309,No data,0.45803879290348515,zona pellucida glycoprotein 2,True,,,,,,
140,IFT172,ENSG00000138002,0.4769121670798509,0.4453437248950657,No data,No data,No data,0.10863280237731401,No data,0.5830875981946768,intraflagellar transport 172,True,,,,,,
141,BTG4,ENSG00000137707,0.4763884326885806,0.47352418881477415,No data,No data,No data,0.05728487747612878,No data,No data,BTG anti-proliferation factor 4,True,,,,,,
142,PANX1,ENSG00000110218,0.4740785585968012,0.47352418881477415,No data,No data,No data,0.011087395640541052,No data,No data,pannexin 1,True,,,,,,
143,IL11RA,ENSG00000137070,0.4704956872277746,0.4473969463099807,No data,No data,No data,No data,No data,0.4619748183558772,interleukin 11 receptor subunit alpha,True,,,,,,
144,SRY,ENSG00000184895,0.4696974816261994,0.4545832212621832,No data,No data,No data,0.1529285769722785,No data,0.5941193918338272,sex determining region Y,True,,,,,,
145,GRIN2D,ENSG00000105464,0.4692658076002404,No data,No data,0.452098823350136,No data,No data,No data,0.343339685002088,glutamate ionotropic receptor NMDA type subunit 2D,True,,,,,,
146,PTGS1,ENSG00000095303,0.4671014555762431,No data,No data,0.46608126118570725,No data,0.020403887810717912,No data,No data,prostaglandin-endoperoxide synthase 1,True,,,,,,
147,KISS1,ENSG00000170498,0.4665950990364258,0.4531972968071155,No data,No data,No data,0.04172946368830109,No data,0.5794282769942922,KiSS-1 metastasis suppressor,True,,,,,,
148,BTK,ENSG00000010671,0.4631451545623788,0.462898767992589,No data,No data,No data,0.011087395640541052,No data,No data,Bruton tyrosine kinase,True,,,,,,
149,ERCC4,ENSG00000175595,0.4619748183558772,0.4619748183558772,No data,No data,No data,No data,No data,No data,"ERCC excision repair 4, endonuclease catalytic subunit",True,,,,,,
150,GRIN3A,ENSG00000198785,0.4548706722602713,No data,No data,0.452098823350136,No data,0.05543697820270527,No data,No data,glutamate ionotropic receptor NMDA type subunit 3A,True,,,,,,
151,IFT74,ENSG00000096872,0.454008319266007,0.45273532198875965,No data,No data,No data,0.05728487747612878,No data,No data,intraflagellar transport 74,True,,,,,,
152,DMXL2,ENSG00000104093,0.4532258137712115,0.45273532198875965,No data,No data,No data,0.02207213021033636,No data,No data,Dmx like 2,True,,,,,,
153,GRIN3B,ENSG00000116032,0.452098823350136,No data,No data,0.452098823350136,No data,No data,No data,No data,glutamate ionotropic receptor NMDA type subunit 3B,True,,,,,,
154,GRIN2C,ENSG00000161509,0.452098823350136,No data,No data,0.452098823350136,No data,No data,No data,No data,glutamate ionotropic receptor NMDA type subunit 2C,True,,,,,,
155,GRIN2B,ENSG00000273079,0.452098823350136,No data,No data,0.452098823350136,No data,No data,No data,No data,glutamate ionotropic receptor NMDA type subunit 2B,True,,,,,,
156,BCL11A,ENSG00000119866,0.4499435970551662,0.44052723378472375,No data,No data,No data,0.18832726540884953,No data,No data,BAF chromatin remodeling complex subunit BCL11A,True,,,,,,
157,HERC2,ENSG00000128731,0.4256420333329915,0.3981278452376801,No data,No data,No data,0.022482774493319358,No data,0.5402914176869767,HECT and RLD domain containing E3 ubiquitin protein ligase 2,True,,,,,,
158,RPE65,ENSG00000116745,0.4173676648135708,0.3901120688338519,No data,No data,No data,No data,No data,0.5451119195943787,retinoid isomerohydrolase RPE65,True,,,,,,
159,ZNF596,ENSG00000172748,0.4157773365202895,0.4157773365202895,No data,No data,No data,No data,No data,No data,zinc finger protein 596,True,,,,,,
160,SIGMAR1,ENSG00000147955,0.4157773365202895,0.1847899273423509,No data,0.3695798546847018,No data,No data,No data,No data,sigma non-opioid intracellular receptor 1,True,,,,,,
161,PRLR,ENSG00000113494,0.4065674394238743,0.3695798546847018,No data,No data,No data,0.48160583907996785,No data,0.5257046551923534,prolactin receptor,True,,,,,,
162,AIP,ENSG00000110711,0.4022939114515139,0.3695798546847018,No data,No data,No data,0.38106814700273733,No data,0.4849175144461375,aryl hydrocarbon receptor interacting protein,True,,,,,,
