target.gene_info.symbol,target.id,association_score.overall,association_score.datatypes.genetic_association,association_score.datatypes.somatic_mutation,association_score.datatypes.known_drug,association_score.datatypes.affected_pathway,association_score.datatypes.rna_expression,association_score.datatypes.literature,association_score.datatypes.animal_model,target.gene_info.name
SCN5A,ENSG00000183873,0.8086805555555555,0.0,0.0,0.75,0.0,0.0,0.0068000000000000005,0.23170000000000002,sodium voltage-gated channel alpha subunit 5
SLC6A3,ENSG00000142319,0.7791975840891912,0.0,0.0,0.7,0.0,0.0,0.020000000000000004,0.307901447467876,solute carrier family 6 member 3
SCN7A,ENSG00000136546,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,sodium voltage-gated channel alpha subunit 7
F10,ENSG00000126218,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,coagulation factor X
GRIK4,ENSG00000149403,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,glutamate ionotropic receptor kainate type subunit 4
ZFPM2,ENSG00000169946,0.5077388888888889,0.5,0.0,0.0,0.0,0.0,0.03095555555555556,0.0,"zinc finger protein, FOG family member 2"
LEPROT,ENSG00000213625,0.5011363888888889,0.4390833333333333,0.0,0.0,0.0,0.0,0.0,0.24821222222222228,leptin receptor overlapping transcript
AKT3,ENSG00000117020,0.4535451480220168,0.4535451480220168,0.0,0.0,0.0,0.0,0.0,0.0,AKT serine/threonine kinase 3
ACBD6,ENSG00000230124,0.4474166666666667,0.4474166666666667,0.0,0.0,0.0,0.0,0.0,0.0,acyl-CoA binding domain containing 6
NDN,ENSG00000182636,0.38272490014679417,0.3,0.0,0.0,0.0,0.0,0.06030589213747413,0.30102424546485257,"necdin, MAGE family member"
HERC2,ENSG00000128731,0.3742509111111111,0.3,0.0,0.0,0.0,0.0,0.010400000000000001,0.2923814222222222,HECT and RLD domain containing E3 ubiquitin protein ligase 2
KIT,ENSG00000157404,0.3507617218806022,0.0,0.0,0.09,0.0,0.0,0.022900000000000004,0.3257172774361577,"KIT proto-oncogene, receptor tyrosine kinase"
HDAC6,ENSG00000094631,0.3506839470103825,0.0,0.0,0.225,0.0,0.0,0.010400000000000001,0.2932783914548269,histone deacetylase 6
BMP4,ENSG00000125378,0.3391400573111147,0.0,0.0,0.0,0.0,0.0,0.057236437793207265,0.32483094786281286,bone morphogenetic protein 4
MECP2,ENSG00000169057,0.3350482319962724,0.0,0.0,0.0,0.0,0.0,0.03255177777777778,0.326910287551828,methyl-CpG binding protein 2
WT1,ENSG00000184937,0.33496740592237906,0.0,0.0,0.0,0.0,0.0,0.05838883772627552,0.32037019649081017,WT1 transcription factor
ALMS1,ENSG00000116127,0.3348339991920601,0.0,0.0,0.0,0.0,0.0,0.03169055940174513,0.3269113593416238,ALMS1 centrosome and basal body associated protein
IFT88,ENSG00000032742,0.3315112107844375,0.0,0.0,0.0,0.0,0.0,0.019855555555555557,0.32654732189554864,intraflagellar transport 88
GPC3,ENSG00000147257,0.3290963308147845,0.0,0.0,0.0,0.0,0.0,0.010400000000000001,0.3264963308147845,glypican 3
BGLAP,ENSG00000242252,0.32810861639932853,0.0,0.0,0.0,0.0,0.0,0.05562083193825297,0.3142034084147653,bone gamma-carboxyglutamate protein
ADCY3,ENSG00000138031,0.3275991200996224,0.0,0.0,0.0,0.0,0.0,0.0112,0.32479912009962236,adenylate cyclase 3
APOE,ENSG00000130203,0.3274632765979087,0.0,0.0,0.0,0.0,0.0,0.0414214977324263,0.3171079021648021,apolipoprotein E
IRS2,ENSG00000185950,0.3274632290965219,0.0,0.0,0.0,0.0,0.0,0.014199999999999999,0.3239132290965219,insulin receptor substrate 2
GLI3,ENSG00000106571,0.32700446440000985,0.0,0.0,0.0,0.0,0.0,0.013200000000000002,0.32370446440000983,GLI family zinc finger 3
ASIP,ENSG00000101440,0.32699006790618695,0.0,0.0,0.0,0.0,0.0,0.0,0.32699006790618695,agouti signaling protein
PKD1,ENSG00000008710,0.3269102262679397,0.0,0.0,0.0,0.0,0.0,0.0,0.3269102262679397,"polycystin 1, transient receptor potential channel interacting"
AMHR2,ENSG00000135409,0.3265202380239322,0.0,0.0,0.0,0.0,0.0,0.017535000000000002,0.3221364880239322,anti-Mullerian hormone receptor type 2
THRA,ENSG00000126351,0.3262353568662611,0.0,0.0,0.0,0.0,0.0,0.0,0.3262353568662611,thyroid hormone receptor alpha
LHX9,ENSG00000143355,0.3259103583295101,0.0,0.0,0.0,0.0,0.0,0.012,0.3229103583295101,LIM homeobox 9
HFE,ENSG00000010704,0.3259049352630564,0.0,0.0,0.0,0.0,0.0,0.03176877777777778,0.317962740818612,homeostatic iron regulator
LDLR,ENSG00000130164,0.3257051572165878,0.0,0.0,0.0,0.0,0.0,0.02840555555555556,0.31860376832769893,low density lipoprotein receptor
IGF2,ENSG00000167244,0.32566906059954615,0.0,0.0,0.0,0.0,0.0,0.04952414980749601,0.3132880231476721,insulin like growth factor 2
BICC1,ENSG00000122870,0.32562973906547044,0.0,0.0,0.0,0.0,0.0,0.0,0.32562973906547044,BicC family RNA binding protein 1
TUB,ENSG00000166402,0.3254866427900514,0.0,0.0,0.0,0.0,0.0,0.0,0.3254866427900514,TUB bipartite transcription factor
PKD2,ENSG00000118762,0.32524296063448943,0.0,0.0,0.0,0.0,0.0,0.004,0.32424296063448943,"polycystin 2, transient receptor potential cation channel"
RAI1,ENSG00000108557,0.3241086046644589,0.0,0.0,0.0,0.0,0.0,0.0,0.3241086046644589,retinoic acid induced 1
CYS1,ENSG00000205795,0.3239262443916704,0.0,0.0,0.0,0.0,0.0,0.0,0.3239262443916704,cystin 1
LMNA,ENSG00000160789,0.32386279038514054,0.0,0.0,0.0,0.0,0.0,0.0112,0.3210627903851405,lamin A/C
FGFR2,ENSG00000066468,0.32364915411969014,0.0,0.0,0.0,0.0,0.0,0.010400000000000001,0.32104915411969015,fibroblast growth factor receptor 2
TCF7L2,ENSG00000148737,0.32358421882495186,0.0,0.0,0.0,0.0,0.0,0.0048000000000000004,0.3223842188249519,transcription factor 7 like 2
NEIL1,ENSG00000140398,0.32346082494082634,0.0,0.0,0.0,0.0,0.0,0.0,0.32346082494082634,nei like DNA glycosylase 1
NPHP3-ACAD11,ENSG00000274810,0.3233158023311223,0.0,0.0,0.0,0.0,0.0,0.0,0.3233158023311223,NPHP3-ACAD11 readthrough (NMD candidate)
NPHP3,ENSG00000113971,0.3233158023311223,0.0,0.0,0.0,0.0,0.0,0.0,0.3233158023311223,nephrocystin 3
DNAH11,ENSG00000105877,0.3230881826612362,0.0,0.0,0.0,0.0,0.0,0.010400000000000001,0.3204881826612362,dynein axonemal heavy chain 11
PTK7,ENSG00000112655,0.3227910382396331,0.0,0.0,0.0,0.0,0.0,0.0,0.3227910382396331,protein tyrosine kinase 7 (inactive)
CDKN2C,ENSG00000123080,0.3224182076877305,0.0,0.0,0.0,0.0,0.0,0.0,0.3224182076877305,cyclin dependent kinase inhibitor 2C
ZBTB16,ENSG00000109906,0.3222544644000098,0.0,0.0,0.0,0.0,0.0,0.0116,0.3193544644000098,zinc finger and BTB domain containing 16
TULP3,ENSG00000078246,0.3221505106325574,0.0,0.0,0.0,0.0,0.0,0.0,0.3221505106325574,TUB like protein 3
TWIST1,ENSG00000122691,0.3217783311155664,0.0,0.0,0.0,0.0,0.0,0.013400000000000002,0.3184283311155664,twist family bHLH transcription factor 1
SALL1,ENSG00000103449,0.32162519638510884,0.0,0.0,0.0,0.0,0.0,0.0,0.32162519638510884,spalt like transcription factor 1
CDKN1A,ENSG00000124762,0.3215610054789045,0.0,0.0,0.0,0.0,0.0,0.04610696456689079,0.3100342643371818,cyclin dependent kinase inhibitor 1A
SMARCA2,ENSG00000080503,0.3212242216357849,0.0,0.0,0.0,0.0,0.0,0.0,0.3212242216357849,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
WWTR1,ENSG00000018408,0.3212142419392116,0.0,0.0,0.0,0.0,0.0,0.0,0.3212142419392116,WW domain containing transcription regulator 1
IFT140,ENSG00000187535,0.3212127241190635,0.0,0.0,0.0,0.0,0.0,0.0,0.3212127241190635,intraflagellar transport 140
CDKN1C,ENSG00000129757,0.3211927760754994,0.0,0.0,0.0,0.0,0.0,0.018294444444444447,0.3166191649643883,cyclin dependent kinase inhibitor 1C
CC2D2A,ENSG00000048342,0.32092590647267605,0.0,0.0,0.0,0.0,0.0,0.0,0.32092590647267605,coiled-coil and C2 domain containing 2A
CTF1,ENSG00000150281,0.32088766559523424,0.0,0.0,0.0,0.0,0.0,0.0112,0.3180876655952342,cardiotrophin 1
ARNT2,ENSG00000172379,0.32074277506536836,0.0,0.0,0.0,0.0,0.0,0.0,0.32074277506536836,aryl hydrocarbon receptor nuclear translocator 2
TCF21,ENSG00000118526,0.3204671279444856,0.0,0.0,0.0,0.0,0.0,0.0,0.3204671279444856,transcription factor 21
TLR5,ENSG00000187554,0.3203481024570759,0.0,0.0,0.0,0.0,0.0,0.0,0.3203481024570759,toll like receptor 5
MCHR1,ENSG00000128285,0.32010052475120393,0.0,0.0,0.0,0.0,0.0,0.006,0.31860052475120393,melanin concentrating hormone receptor 1
GADD45G,ENSG00000130222,0.3200290251084644,0.0,0.0,0.0,0.0,0.0,0.0,0.3200290251084644,growth arrest and DNA damage inducible gamma
ZGLP1,ENSG00000220201,0.319853816739051,0.0,0.0,0.0,0.0,0.0,0.035771555555555556,0.3109109278501621,zinc finger GATA like protein 1
DZIP1L,ENSG00000158163,0.3196109112768618,0.0,0.0,0.0,0.0,0.0,0.0,0.3196109112768618,DAZ interacting zinc finger protein 1 like
PDGFRB,ENSG00000113721,0.31952667777777777,0.0,0.0,0.09,0.0,0.0,0.0068000000000000005,0.2962711222222222,platelet derived growth factor receptor beta
C2CD5,ENSG00000111731,0.31951382505961506,0.0,0.0,0.0,0.0,0.0,0.0,0.31951382505961506,C2 calcium dependent domain containing 5
CBX2,ENSG00000173894,0.31943015658320034,0.0,0.0,0.0,0.0,0.0,0.007,0.31768015658320037,chromobox 2
MAP3K4,ENSG00000085511,0.3193944866570892,0.0,0.0,0.0,0.0,0.0,0.0,0.3193944866570892,mitogen-activated protein kinase kinase kinase 4
LGR4,ENSG00000205213,0.31933465130243854,0.0,0.0,0.0,0.0,0.0,0.0,0.31933465130243854,leucine rich repeat containing G protein-coupled receptor 4
CDK4,ENSG00000135446,0.31919352569656056,0.0,0.0,0.0,0.0,0.0,0.0,0.31919352569656056,cyclin dependent kinase 4
DACT1,ENSG00000165617,0.31914482838381636,0.0,0.0,0.0,0.0,0.0,0.008,0.31714482838381636,dishevelled binding antagonist of beta catenin 1
CYP11A1,ENSG00000140459,0.3191232678541635,0.0,0.0,0.0,0.0,0.0,0.017505555555555555,0.3147468789652746,cytochrome P450 family 11 subfamily A member 1
LRP6,ENSG00000070018,0.3189022594605709,0.0,0.0,0.0,0.0,0.0,0.0,0.3189022594605709,LDL receptor related protein 6
BRD2,ENSG00000204256,0.3180876655952342,0.0,0.0,0.0,0.0,0.0,0.0,0.3180876655952342,bromodomain containing 2
SELENOM,ENSG00000198832,0.3180876655952342,0.0,0.0,0.0,0.0,0.0,0.0,0.3180876655952342,selenoprotein M
PLSCR3,ENSG00000187838,0.3180876655952342,0.0,0.0,0.0,0.0,0.0,0.0,0.3180876655952342,phospholipid scramblase 3
STAT5B,ENSG00000173757,0.3180876655952342,0.0,0.0,0.0,0.0,0.0,0.0,0.3180876655952342,signal transducer and activator of transcription 5B
PEX11A,ENSG00000166821,0.3180876655952342,0.0,0.0,0.0,0.0,0.0,0.0,0.3180876655952342,peroxisomal biogenesis factor 11 alpha
PTPN13,ENSG00000163629,0.3180876655952342,0.0,0.0,0.0,0.0,0.0,0.0,0.3180876655952342,protein tyrosine phosphatase non-receptor type 13
TYK2,ENSG00000105397,0.3180876655952342,0.0,0.0,0.0,0.0,0.0,0.0,0.3180876655952342,tyrosine kinase 2
GDNF,ENSG00000168621,0.3180283191405854,0.0,0.0,0.0,0.0,0.0,0.03168822222222223,0.3101062635850298,glial cell derived neurotrophic factor
YTHDC2,ENSG00000047188,0.3179745500398731,0.0,0.0,0.0,0.0,0.0,0.0,0.3179745500398731,YTH domain containing 2
CDK2,ENSG00000123374,0.31786217896757596,0.0,0.0,0.0,0.0,0.0,0.004,0.31686217896757596,cyclin dependent kinase 2
SMAD3,ENSG00000166949,0.3175194032260706,0.0,0.0,0.0,0.0,0.0,0.050972222222222224,0.30477634767051504,SMAD family member 3
FAT4,ENSG00000196159,0.3173896194044259,0.0,0.0,0.0,0.0,0.0,0.0,0.3173896194044259,FAT atypical cadherin 4
TSC1,ENSG00000165699,0.3173896194044259,0.0,0.0,0.0,0.0,0.0,0.0,0.3173896194044259,TSC complex subunit 1
EGR1,ENSG00000120738,0.3171413024376417,0.0,0.0,0.0,0.0,0.0,0.040933333333333335,0.3069079691043084,early growth response 1
HSD11B1,ENSG00000117594,0.31683578437805177,0.0,0.0,0.0,0.0,0.0,0.017860444444444446,0.3123706732669407,hydroxysteroid 11-beta dehydrogenase 1
TTC26,ENSG00000105948,0.3164081713595204,0.0,0.0,0.0,0.0,0.0,0.0,0.3164081713595204,tetratricopeptide repeat domain 26
FREM2,ENSG00000150893,0.31634321664347875,0.0,0.0,0.0,0.0,0.0,0.0,0.31634321664347875,FRAS1 related extracellular matrix 2
SCARB1,ENSG00000073060,0.3162097194423693,2.246860377227191e-05,0.0,0.0,0.0,0.0,0.03431080782312926,0.30762952097505675,scavenger receptor class B member 1
CPLANE1,ENSG00000197603,0.3160150683849836,0.0,0.0,0.0,0.0,0.0,0.0,0.3160150683849836,ciliogenesis and planar polarity effector 1
FUZ,ENSG00000010361,0.3158748325650486,0.0,0.0,0.0,0.0,0.0,0.0,0.3158748325650486,fuzzy planar cell polarity protein
DDR2,ENSG00000162733,0.3158275459669966,0.0,0.0,0.0,0.0,0.0,0.0,0.3158275459669966,discoidin domain receptor tyrosine kinase 2
IFT122,ENSG00000163913,0.31577857200429704,0.0,0.0,0.0,0.0,0.0,0.0,0.31577857200429704,intraflagellar transport 122
EIF3CL,ENSG00000205609,0.315775849330868,0.0,0.0,0.0,0.0,0.0,0.0,0.315775849330868,eukaryotic translation initiation factor 3 subunit C like
KIF7,ENSG00000166813,0.315775849330868,0.0,0.0,0.0,0.0,0.0,0.0,0.315775849330868,kinesin family member 7
INTU,ENSG00000164066,0.315775849330868,0.0,0.0,0.0,0.0,0.0,0.0,0.315775849330868,inturned planar cell polarity protein
PRPH2,ENSG00000112619,0.31549684336181,0.0,0.0,0.0,0.0,0.0,0.004,0.31449684336181,peripherin 2
HMOX1,ENSG00000100292,0.31540167933542557,0.0,0.0,0.0,0.0,0.0,0.1323217173417022,0.28232125,heme oxygenase 1
PDGFRA,ENSG00000134853,0.3150038306634673,0.0,0.0,0.0,0.0,0.0,0.032355555555555554,0.30691494177457845,platelet derived growth factor receptor alpha
COL1A1,ENSG00000108821,0.3149087281036323,0.0,0.0,0.0,0.0,0.0,0.0,0.3149087281036323,collagen type I alpha 1 chain
FAS,ENSG00000026103,0.31489511317942603,0.0,0.0,0.0,0.0,0.0,0.0,0.31489511317942603,Fas cell surface death receptor
FSCN2,ENSG00000186765,0.31449684336181,0.0,0.0,0.0,0.0,0.0,0.0,0.31449684336181,"fascin actin-bundling protein 2, retinal"
DYNC2H1,ENSG00000187240,0.3139486397456058,0.0,0.0,0.0,0.0,0.0,0.0,0.3139486397456058,dynein cytoplasmic 2 heavy chain 1
B9D1,ENSG00000108641,0.3135963978052863,0.0,0.0,0.0,0.0,0.0,0.0,0.3135963978052863,B9 domain containing 1
RPL38,ENSG00000172809,0.3135208538029449,0.0,0.0,0.0,0.0,0.0,0.0,0.3135208538029449,ribosomal protein L38
CPLANE2,ENSG00000132881,0.3135208538029449,0.0,0.0,0.0,0.0,0.0,0.0,0.3135208538029449,ciliogenesis and planar polarity effector 2
GLIS3,ENSG00000107249,0.31346798570621975,0.0,0.0,0.0,0.0,0.0,0.0,0.31346798570621975,GLIS family zinc finger 3
RPGRIP1L,ENSG00000103494,0.3133438110474973,0.0,0.0,0.0,0.0,0.0,0.0,0.3133438110474973,RPGRIP1 like
CEBPB,ENSG00000172216,0.3132050894431847,0.0,0.0,0.0,0.0,0.0,0.021400000000000002,0.3078550894431847,CCAAT enhancer binding protein beta
ACD,ENSG00000102977,0.31311494177457844,0.0,0.0,0.0,0.0,0.0,0.024800000000000003,0.30691494177457845,ACD shelterin complex subunit and telomerase recruitment factor
GLI2,ENSG00000074047,0.31289944177457846,0.0,0.0,0.0,0.0,0.0,0.023938,0.30691494177457845,GLI family zinc finger 2
CLCN2,ENSG00000114859,0.3126957752212204,0.0,0.0,0.0,0.0,0.0,0.0,0.3126957752212204,chloride voltage-gated channel 2
TBX6,ENSG00000149922,0.31257108763857394,0.0,0.0,0.0,0.0,0.0,0.0184,0.30797108763857395,T-box transcription factor 6
BMPR1B,ENSG00000138696,0.3124306117257211,0.00023743972148727567,0.0,0.0,0.0,0.0,0.0112,0.3096042295344447,bone morphogenetic protein receptor type 1B
COL2A1,ENSG00000139219,0.3123173318330467,0.0,0.0,0.0,0.0,0.0,0.0,0.3123173318330467,collagen type II alpha 1 chain
C3,ENSG00000125730,0.3122940725403124,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.3090440725403124,complement C3
TARDBP,ENSG00000120948,0.312279271824616,0.0,0.0,0.0,0.0,0.0,0.010800000000000002,0.30957927182461603,TAR DNA binding protein
TSC2,ENSG00000103197,0.3118604320509257,0.0,0.0,0.0,0.0,0.0,0.0,0.3118604320509257,TSC complex subunit 2
INVS,ENSG00000119509,0.31182824242882334,0.0,0.0,0.0,0.0,0.0,0.02211452607709751,0.306299610909549,inversin
ROR2,ENSG00000169071,0.3118091015054494,0.0,0.0,0.0,0.0,0.0,0.0,0.3118091015054494,receptor tyrosine kinase like orphan receptor 2
IGFBP3,ENSG00000146674,0.3117019248918549,0.0,0.0,0.0,0.0,0.0,0.12643902312499083,0.2800921691106072,insulin like growth factor binding protein 3
DISP1,ENSG00000154309,0.31141498443372606,0.0,0.0,0.0,0.0,0.0,0.0,0.31141498443372606,dispatched RND transporter family member 1
PRICKLE1,ENSG00000139174,0.31122107048944925,0.0,0.0,0.0,0.0,0.0,0.0,0.31122107048944925,prickle planar cell polarity protein 1
COL4A3,ENSG00000169031,0.3111798358857593,0.0,0.0,0.0,0.0,0.0,0.0,0.3111798358857593,collagen type IV alpha 3 chain
AQP11,ENSG00000178301,0.31086904699687046,0.0,0.0,0.0,0.0,0.0,0.0,0.31086904699687046,aquaporin 11
MMP14,ENSG00000157227,0.3106025269274376,0.0,0.0,0.0,0.0,0.0,0.0252,0.30430252692743764,matrix metallopeptidase 14
WDR19,ENSG00000157796,0.3104093862190229,0.0,0.0,0.0,0.0,0.0,0.01397777777777778,0.30691494177457845,WD repeat domain 19
PCSK5,ENSG00000099139,0.31031494177457847,0.0,0.0,0.0,0.0,0.0,0.013600000000000001,0.30691494177457845,proprotein convertase subtilisin/kexin type 5
VANGL2,ENSG00000162738,0.3099535462333081,0.0,0.0,0.0,0.0,0.0,0.0,0.3099535462333081,VANGL planar cell polarity protein 2
INHA,ENSG00000123999,0.3098985131235828,0.0,0.0,0.0,0.0,0.0,0.004,0.3088985131235828,inhibin subunit alpha
FANCL,ENSG00000115392,0.30987312311035525,0.0,0.0,0.0,0.0,0.0,0.0116,0.30697312311035524,FA complementation group L
ID2,ENSG00000115738,0.309838525116585,0.0,0.0,0.0,0.0,0.0,0.0,0.309838525116585,inhibitor of DNA binding 2
