"symbol","overallAssociationScore","geneticAssociations","somaticMutations","drugs","pathwaysSystemsBiology","textMining","rnaExpression","animalModels","targetName"
"NR5A1",0.7909425379487873,0.7859318371304694,"No data","No data","No data",0.04708709256003797,"No data",0.5936382324563676,"nuclear receptor subfamily 5 group A member 1"
"PROK2",0.7893076379799865,0.7879296974937791,"No data","No data","No data",0.17224256077593322,"No data","No data","prokineticin 2"
"BBS5",0.7888881378152973,0.7877989639109676,"No data","No data","No data",0.19605130277934582,"No data","No data","Bardet-Biedl syndrome 5"
"FGF8",0.7872583598168171,0.7802126016090991,"No data","No data","No data",0.07285133786010449,"No data",0.5170358003869762,"fibroblast growth factor 8"
"KISS1R",0.7871866857041832,0.7815783294128456,"No data","No data","No data",0.14104902227197302,"No data",0.6030938265061158,"KISS1 receptor"
"WDR11",0.7853527120885435,0.7801736407954027,"No data","No data","No data",0.07080729591436297,"No data",0.598212178368712,"WD repeat domain 11"
"CLPP",0.7849287862000245,0.7824538080889526,"No data","No data","No data",0.10667797021779961,"No data",0.5246943162646092,"caseinolytic mitochondrial matrix peptidase proteolytic subunit"
"CYP21A2",0.7833754332420626,0.7818147867941337,"No data","No data","No data",0.12485171583431157,"No data","No data","cytochrome P450 family 21 subfamily A member 2"
"LARS2",0.782971797719938,0.7819789331556523,"No data","No data","No data",0.17871562157142712,"No data","No data","leucyl-tRNA synthetase 2, mitochondrial"
"PROP1",0.7818286753623668,0.7735081847109683,"No data","No data","No data",0.1064623563803872,"No data",0.5975033440284409,"PROP paired-like homeobox 1"
"CYP17A1",0.7805202338654418,0.7727289213233299,"No data",0.03695798546847018,"No data",0.09527388929400146,"No data",0.4626954990725124,"cytochrome P450 family 17 subfamily A member 1"
"BMP15",0.775400059657672,0.7715637685179227,"No data","No data","No data",0.05362804997962387,"No data",0.44229469109391684,"bone morphogenetic protein 15"
"TACR3",0.7741876743721048,0.7693340471560087,"No data","No data","No data",0.05203684353960601,"No data",0.5705667051095038,"tachykinin receptor 3"
"MKKS",0.772724274955648,0.7642487148122682,"No data","No data","No data",0.11746448917444027,"No data",0.6028675383987433,"MKKS centrosomal shuttling protein"
"STAR",0.769382206809554,0.7641275688318275,"No data","No data","No data",0.1689914784998052,"No data",0.5394745538131598,"steroidogenic acute regulatory protein"
"BBS2",0.7688132561167823,0.760328151375147,"No data","No data","No data",0.12757004051820123,"No data",0.5971635533991825,"Bardet-Biedl syndrome 2"
"HARS2",0.7594442352867227,0.7585604494030188,"No data","No data","No data",0.11611959435399569,"No data","No data","histidyl-tRNA synthetase 2, mitochondrial"
"HSD17B3",0.759366557545248,0.7592279650997411,"No data","No data","No data",0.011087395640541052,"No data","No data","hydroxysteroid 17-beta dehydrogenase 3"
"HSD17B4",0.7574563838115616,0.7526473831762724,"No data","No data","No data",0.11238089083855342,"No data",0.5230827941065778,"hydroxysteroid 17-beta dehydrogenase 4"
"GH1",0.7566911737299427,0.7489959845147759,"No data","No data","No data",0.5492566753385881,"No data",0.580470405132944,"growth hormone 1"
"CYP19A1",0.7539860530572284,0.7465418749099731,"No data",0.03695798546847018,"No data",0.33626566922058954,"No data",0.6027238673846115,"cytochrome P450 family 19 subfamily A member 1"
"ARL6",0.7533232158652111,0.7524015968013648,"No data","No data","No data",0.11520238298079653,"No data","No data","ADP ribosylation factor like GTPase 6"
"RAB3GAP2",0.7527877338097841,0.7518526291035834,"No data","No data","No data",0.11688808827509499,"No data","No data","RAB3 GTPase activating non-catalytic protein subunit 2"
"RNF216",0.7422088650511255,0.7392751317815822,"No data","No data","No data",0.23469866156346245,"No data","No data","ring finger protein 216"
"GHRHR",0.7421392269909467,0.736586210447717,"No data","No data","No data",0.14145590349509554,"No data",0.5958938015876672,"growth hormone releasing hormone receptor"
"MAGEL2",0.7419026973395242,0.735433818408754,"No data","No data","No data",0.3121911598348706,"No data",0.591810449794281,"MAGE family member L2"
"WNT4",0.7407653884902177,0.7370735133233212,"No data","No data","No data",0.1150875401340983,"No data",0.5799834189224438,"Wnt family member 4"
"TWNK",0.7324567903178579,0.7276372612525288,"No data","No data","No data",0.38556232522633255,"No data","No data","twinkle mtDNA helicase"
"LHX3",0.72881593718834,0.7253682293860476,"No data","No data","No data",0.05058922464169487,"No data",0.5834198107983322,"LIM homeobox 3"
"FSHR",0.7287850331855633,0.6645059556709285,"No data",0.5114956380882747,"No data",0.1582356851747493,"No data",0.6027879507610016,"follicle stimulating hormone receptor"
"FSHB",0.7281513374063339,0.7115738775761618,0.3326218692162316,"No data","No data",0.031311626577453906,"No data",0.5660608507314754,"follicle stimulating hormone subunit beta"
"SMCHD1",0.7235917413234624,0.7212066614495919,"No data","No data","No data",0.1073285943241729,"No data","No data","structural maintenance of chromosomes flexible hinge domain containing 1"
"TUBB8",0.7167608879171787,0.7151217328209383,"No data","No data","No data",0.07376197933082174,"No data","No data","tubulin beta 8 class VIII"
"PATL2",0.7129364526209723,0.7081642835456773,"No data","No data","No data",0.07524029874956055,"No data",0.3336197348238803,"PAT1 homolog 2"
"LHX4",0.7106251646098205,0.7100551013022746,"No data","No data","No data",0.045605064603667964,"No data","No data","LIM homeobox 4"
"POLR3B",0.7100630980543601,0.7100039652776104,"No data","No data","No data",0.007391597093694037,"No data","No data","RNA polymerase III subunit B"
"SPRY4",0.7061315665173561,0.6932661063977097,"No data","No data","No data",0.025767928757183374,"No data",0.5644512454581724,"sprouty RTK signaling antagonist 4"
"TBX19",0.698500390980187,0.6913726866546731,"No data","No data","No data",0.10609348957029527,"No data",0.5023165127161273,"T-box transcription factor 19"
"MAP3K1",0.6962621008286981,0.6900877175529349,"No data","No data","No data","No data","No data",0.4939506620610561,"mitogen-activated protein kinase kinase kinase 1"
"SOX3",0.6961905013342399,0.6916760728785218,"No data","No data","No data",0.020673886426779236,"No data",0.5499466913906145,"SRY-box transcription factor 3"
"IL17RD",0.6951694405548495,0.6951694405548495,"No data","No data","No data","No data","No data","No data","interleukin 17 receptor D"
"DCAF17",0.6929764616355623,0.6921163608617561,"No data","No data","No data",0.10751259672577157,"No data","No data","DDB1 and CUL4 associated factor 17"
"ESR1",0.6886259635916882,0.46871965070387306,"No data",0.5556155309143782,"No data",0.18850920340694968,"No data",0.6063369731439667,"estrogen receptor 1"
"NSMF",0.6885575157955679,0.6878291739965283,"No data","No data","No data",0.0582673439231656,"No data","No data","NMDA receptor synaptonuclear signaling and neuronal migration factor"
"INSR",0.6808639552129673,0.6792163482985755,"No data","No data","No data",0.07414231114762816,"No data","No data","insulin receptor"
"PCSK1",0.6803707322103155,0.6747384959403088,"No data","No data","No data",0.14698532442400886,"No data",0.6019563917897436,"proprotein convertase subtilisin/kexin type 1"
"TRIM32",0.6800504041248415,0.6731550930576159,"No data","No data","No data",0.0479261807531209,"No data",0.5209521296960481,"tripartite motif containing 32"
"POLR3A",0.6752034727460624,0.6748512768326906,"No data","No data","No data",0.015848816101728964,"No data","No data","RNA polymerase III subunit A"
"LEPR",0.6696257198564938,0.6640962330983465,"No data","No data","No data",0.12047030181172215,"No data",0.6075259129547038,"leptin receptor"
"SEMA3A",0.6689923424819035,0.6651578965507455,"No data","No data","No data",0.17255006690211364,"No data","No data","semaphorin 3A"
"DUSP6",0.6664283843351524,0.6662641266219592,"No data","No data","No data",0.007391597093694037,"No data","No data","dual specificity phosphatase 6"
"FGF17",0.6602646765012942,0.6602646765012942,"No data","No data","No data","No data","No data","No data","fibroblast growth factor 17"
"SDCCAG8",0.6514976912450094,0.6364678434626334,"No data","No data","No data",0.15727700885951487,"No data",0.5878748327234491,"SHH signaling and ciliogenesis regulator SDCCAG8"
"CEP290",0.6500621056717364,0.6353442167430893,"No data","No data","No data",0.10937309950247104,"No data",0.600782633318979,"centrosomal protein 290"
"LZTFL1",0.6468383808348351,0.6414376836884701,"No data","No data","No data",0.12301136645124906,"No data",0.5896625832600503,"leucine zipper transcription factor like 1"
"GDF9",0.6456750871770544,0.6333161454305348,"No data","No data","No data",0.013756583479930565,"No data",0.548414300385914,"growth differentiation factor 9"
"MKS1",0.6443044687117144,0.6303877670778181,"No data","No data","No data",0.04574097645454969,"No data",0.6005222742696528,"MKS transition zone complex subunit 1"
"TAC3",0.6426056708938518,0.6374739187957378,"No data","No data","No data",0.10773047441917566,"No data",0.566656182806501,"tachykinin precursor 3"
"TTC8",0.6326267889098548,0.6178007000893105,"No data","No data","No data",0.13633160240128817,"No data",0.5904874705737686,"tetratricopeptide repeat domain 8"
"GHR",0.6307429060902005,"No data","No data",0.5963520446577636,"No data",0.1991767300363842,"No data",0.5992942375214549,"growth hormone receptor"
"PHIP",0.6296955404146164,0.6185329512431468,"No data","No data","No data","No data","No data",0.5023165127161273,"pleckstrin homology domain interacting protein"
"WDPCP",0.6276320238155255,0.6134211084640213,"No data","No data","No data",0.07797108323139751,"No data",0.5956324565000337,"WD repeat containing planar cell polarity effector"
"MCM9",0.6272198230664399,0.6209536992913316,"No data","No data","No data","No data","No data",0.5012899020086699,"minichromosome maintenance 9 homologous recombination repair factor"
"LEP",0.62332218740763,0.6140480423675485,"No data","No data","No data",0.2116576211941101,"No data",0.6064707256422947,"leptin"
"GATA4",0.6216384359288982,0.6151451359085369,"No data","No data","No data",0.04008914812621557,"No data",0.4938069468281192,"GATA binding protein 4"
"OTX2",0.6112691061340624,0.6040250942092384,"No data","No data","No data",0.061254572733435375,"No data",0.5403180274365139,"orthodenticle homeobox 2"
"SSTR5",0.6099510062952762,"No data","No data",0.6025867249857743,"No data",0.14728562619003938,"No data","No data","somatostatin receptor 5"
"FLRT3",0.6092934548760293,0.6092934548760293,"No data","No data","No data","No data","No data","No data","fibronectin leucine rich transmembrane protein 3"
"POC1A",0.6084242530464934,0.5954342103253529,"No data","No data","No data",0.01847899273423509,"No data",0.5741574890383189,"POC1 centriolar protein A"
"NR3C1",0.6071449142213408,"No data","No data",0.576040237267778,"No data",0.09897964474880787,"No data",0.5781025858495615,"nuclear receptor subfamily 3 group C member 1"
"C8orf37",0.606755609044025,0.5998691685815694,"No data","No data","No data",0.08900714833656567,"No data",0.4939506620610561,"chromosome 8 open reading frame 37"
"SSTR2",0.6065241633009771,"No data","No data",0.6025867249857743,"No data",0.07874876630405651,"No data","No data","somatostatin receptor 2"
"LHB",0.6049137610292991,0.5912188578861078,"No data","No data","No data",0.03880588474189369,"No data",0.5944423312762863,"luteinizing hormone subunit beta"
"SSTR1",0.6034696921472875,"No data","No data",0.6007847458335385,"No data",0.05369892627497971,"No data","No data","somatostatin receptor 1"
"ZP1",0.603463820308464,0.5938018993004954,"No data","No data","No data",0.14391234219280793,"No data",0.3538357528751335,"zona pellucida glycoprotein 1"
"HS6ST1",0.6034200951310199,0.6031121119187826,"No data","No data","No data",0.013859244550676317,"No data","No data","heparan sulfate 6-O-sulfotransferase 1"
"SSTR3",0.601472575007535,"No data","No data",0.6007847458335385,"No data",0.013756583479930565,"No data","No data","somatostatin receptor 3"
"SSTR4",0.6003835886496928,"No data","No data",0.5998292188676657,"No data",0.011087395640541052,"No data","No data","somatostatin receptor 4"
"OPRM1",0.5985996058377645,"No data","No data",0.5720354939449456,"No data","No data","No data",0.531282237856378,"opioid receptor mu 1"
"XRCC4",0.5957627257517393,0.5954342103253529,"No data","No data","No data",0.014783194187388073,"No data","No data","X-ray repair cross complementing 4"
"DRD2",0.5956439207530208,"No data","No data",0.5627720145085219,"No data",0.1663657811296504,"No data",0.5834977777212461,"dopamine receptor D2"
"NDNF",0.5866797875175089,0.5861947139582353,"No data","No data","No data",0.03880588474189369,"No data","No data","neuron derived neurotrophic factor"
"BBIP1",0.5849642666449713,0.5706497746259138,"No data","No data","No data",0.09054706439775193,"No data",0.5932194171338516,"BBSome interacting protein 1"
"LHCGR",0.5846374372829323,"No data","No data",0.554404535736329,"No data",0.011087395640541052,"No data",0.5997302995362712,"luteinizing hormone/choriogonadotropin receptor"
"IFT27",0.5743829089352562,0.561299404302391,"No data","No data","No data",0.28296413313744156,"No data",0.4295903835891302,"intraflagellar transport 27"
"AP002748.5",0.573348017470872,0.573348017470872,"No data","No data","No data","No data","No data","No data","novel protein"
"AL162231.3",0.5731689753347768,0.5731689753347768,"No data","No data","No data","No data","No data","No data","novel protein (GALT-IL11RA readthrough)"
"GNRH1",0.5657766262482705,0.5570548775509413,"No data","No data","No data",0.1573055445077226,"No data",0.5970643473013897,"gonadotropin releasing hormone 1"
"HBA2",0.564138412357538,"No data","No data",0.5459628237375089,"No data",0.06825495015522648,"No data",0.33317623899825866,"hemoglobin subunit alpha 2"
"HBA1",0.5634839886816861,"No data","No data",0.5459628237375089,"No data",0.03880588474189369,"No data",0.33317623899825866,"hemoglobin subunit alpha 1"
"RBM28",0.5568918822173312,0.5553963927345102,"No data","No data","No data",0.11963915862568272,"No data","No data","RNA binding motif protein 28"
"PSMC3IP",0.5564388685555144,0.5492367284897651,"No data","No data","No data",0.05687423319314577,"No data",0.5397716960163262,"PSMC3 interacting protein"
"TMEM67",0.5552890827540384,0.541816470101218,"No data","No data","No data",0.04908219506982652,"No data",0.5786588346501398,"transmembrane protein 67"
"RRM2",0.5543832716671702,"No data","No data",0.5543832716671702,"No data","No data","No data","No data","ribonucleotide reductase regulatory subunit M2"
"MRPS22",0.5528093337517173,0.5525218827536291,"No data","No data","No data",0.01293529491396456,"No data","No data","mitochondrial ribosomal protein S22"
"ZFPM2",0.5492367284897651,0.5492367284897651,"No data","No data","No data","No data","No data","No data","zinc finger protein, FOG family member 2"
"AC093899.2",0.5461037530056947,0.5461037530056947,"No data","No data","No data","No data","No data","No data","novel protein"
"DRD3",0.5436051527929363,"No data","No data",0.5261379875719714,"No data",0.03695798546847018,"No data",0.3329175330999794,"dopamine receptor D3"
"DTD1",0.5433578108466514,0.5433578108466514,"No data","No data","No data","No data","No data","No data","D-aminoacyl-tRNA deacylase 1"
"AR",0.5325036647690015,"No data","No data",0.49932291589318123,"No data",0.13364251021876797,"No data",0.6042183063080631,"androgen receptor"
"ESR2",0.5310027499111931,0.3326218692162316,"No data",0.4342563292545246,"No data",0.05411926050596678,"No data",0.5811508168328732,"estrogen receptor 2"
"PGR",0.5270736962935033,"No data","No data",0.4967050585891646,"No data",0.05818783413977597,"No data",0.5815114944690957,"progesterone receptor"
"AKR1C2",0.5268771472813407,0.5261379875719714,"No data","No data","No data",0.014783194187388073,"No data","No data","aldo-keto reductase family 1 member C2"
"DRD4",0.5261379875719714,"No data","No data",0.5261379875719714,"No data","No data","No data","No data","dopamine receptor D4"
"NF1",0.5245838406564691,0.49764748721861063,"No data","No data","No data",0.53872706875717,"No data","No data","neurofibromin 1"
"ZP3",0.5214696778502533,0.5081723001914649,"No data","No data","No data",0.13329308103486753,"No data",0.5234046365633657,"zona pellucida glycoprotein 3"
"SELP",0.5186918354333959,"No data","No data",0.5139848547852752,"No data",0.09413961296241387,"No data","No data","selectin P"
"TRIP13",0.5175885860711493,0.4868290635834234,"No data","No data","No data",0.048045381109011236,"No data",0.5938369470394038,"thyroid hormone receptor interactor 13"
"SOHLH1",0.515563897285159,0.515563897285159,"No data","No data","No data","No data","No data","No data","spermatogenesis and oogenesis specific basic helix-loop-helix 1"
"LEPROT",0.5155302486642749,0.5053375556620687,"No data","No data","No data","No data","No data",0.458671185099279,"leptin receptor overlapping transcript"
"AC127029.3",0.5111698820975052,0.5111698820975052,"No data","No data","No data","No data","No data","No data","novel protein"
"FEZF1",0.509224005827327,0.5081723001914649,"No data","No data","No data",0.047326753613790976,"No data","No data","FEZ family zinc finger 1"
"RNPC3",0.5087298182463281,0.5081723001914649,"No data","No data","No data",0.0250883124688465,"No data","No data","RNA binding region (RNP1, RRM) containing 3"
"SEMA3E",0.5029276420509227,0.4996426224569666,"No data","No data","No data",0.14782588172802089,"No data","No data","semaphorin 3E"
"GRIN2A",0.5027819654401452,"No data","No data",0.5018580158034335,"No data",0.01847899273423509,"No data","No data","glutamate ionotropic receptor NMDA type subunit 2A"
"WEE2",0.4996231995251126,0.49606855995054094,"No data","No data","No data",0.07109279149143222,"No data","No data","WEE2 oocyte meiosis inhibiting kinase"
"NUP107",0.49893280382434735,0.49893280382434735,"No data","No data","No data","No data","No data","No data","nucleoporin 107"
"PTGS2",0.49740768711639827,"No data","No data",0.46608126118570725,"No data",0.06307486758561393,"No data",0.5984952441313247,"prostaglandin-endoperoxide synthase 2"
"CCDC28B",0.49116202343588883,0.4896933074572299,"No data","No data","No data",0.06609221903965201,"No data","No data","coiled-coil domain containing 28B"
"ERAL1",0.48169829140326353,0.4806819468028806,"No data","No data","No data",0.08130756803063438,"No data","No data","Era like 12S mitochondrial rRNA chaperone 1"
"GRIN1",0.47886585221434386,"No data","No data",0.452098823350136,"No data",0.01847899273423509,"No data",0.5271276916244957,"glutamate ionotropic receptor NMDA type subunit 1"
"ZP2",0.4771817404093756,0.4527353219887597,"No data","No data","No data",0.06950154489487309,"No data",0.45803879290348515,"zona pellucida glycoprotein 2"
"IFT172",0.47691216707985096,0.4453437248950657,"No data","No data","No data",0.10863280237731401,"No data",0.5830875981946768,"intraflagellar transport 172"
"BTG4",0.4763884326885806,0.47352418881477415,"No data","No data","No data",0.05728487747612878,"No data","No data","BTG anti-proliferation factor 4"
"PANX1",0.4740785585968012,0.47352418881477415,"No data","No data","No data",0.011087395640541052,"No data","No data","pannexin 1"
"IL11RA",0.4704956872277746,0.4473969463099807,"No data","No data","No data","No data","No data",0.4619748183558772,"interleukin 11 receptor subunit alpha"
"SRY",0.46969748162619945,0.4545832212621832,"No data","No data","No data",0.1529285769722785,"No data",0.5941193918338272,"sex determining region Y"
"GRIN2D",0.4692658076002404,"No data","No data",0.452098823350136,"No data","No data","No data",0.343339685002088,"glutamate ionotropic receptor NMDA type subunit 2D"
"PTGS1",0.46710145557624316,"No data","No data",0.46608126118570725,"No data",0.020403887810717912,"No data","No data","prostaglandin-endoperoxide synthase 1"
"KISS1",0.4665950990364258,0.4531972968071155,"No data","No data","No data",0.04172946368830109,"No data",0.5794282769942922,"KiSS-1 metastasis suppressor"
"BTK",0.4631451545623788,0.462898767992589,"No data","No data","No data",0.011087395640541052,"No data","No data","Bruton tyrosine kinase"
"ERCC4",0.4619748183558772,0.4619748183558772,"No data","No data","No data","No data","No data","No data","ERCC excision repair 4, endonuclease catalytic subunit"
"GRIN3A",0.4548706722602713,"No data","No data",0.452098823350136,"No data",0.05543697820270527,"No data","No data","glutamate ionotropic receptor NMDA type subunit 3A"
"IFT74",0.454008319266007,0.45273532198875965,"No data","No data","No data",0.05728487747612878,"No data","No data","intraflagellar transport 74"
"DMXL2",0.45322581377121157,0.45273532198875965,"No data","No data","No data",0.02207213021033636,"No data","No data","Dmx like 2"
"GRIN3B",0.452098823350136,"No data","No data",0.452098823350136,"No data","No data","No data","No data","glutamate ionotropic receptor NMDA type subunit 3B"
"GRIN2C",0.452098823350136,"No data","No data",0.452098823350136,"No data","No data","No data","No data","glutamate ionotropic receptor NMDA type subunit 2C"
"GRIN2B",0.452098823350136,"No data","No data",0.452098823350136,"No data","No data","No data","No data","glutamate ionotropic receptor NMDA type subunit 2B"
"BCL11A",0.4499435970551662,0.44052723378472375,"No data","No data","No data",0.18832726540884953,"No data","No data","BAF chromatin remodeling complex subunit BCL11A"
"HERC2",0.42564203333299155,0.3981278452376801,"No data","No data","No data",0.022482774493319358,"No data",0.5402914176869767,"HECT and RLD domain containing E3 ubiquitin protein ligase 2"
"RPE65",0.41736766481357085,0.3901120688338519,"No data","No data","No data","No data","No data",0.5451119195943787,"retinoid isomerohydrolase RPE65"
"ZNF596",0.4157773365202895,0.4157773365202895,"No data","No data","No data","No data","No data","No data","zinc finger protein 596"
"SIGMAR1",0.4157773365202895,0.1847899273423509,"No data",0.3695798546847018,"No data","No data","No data","No data","sigma non-opioid intracellular receptor 1"
"PRLR",0.40656743942387435,0.3695798546847018,"No data","No data","No data",0.48160583907996785,"No data",0.5257046551923534,"prolactin receptor"
"AIP",0.40229391145151394,0.3695798546847018,"No data","No data","No data",0.38106814700273733,"No data",0.4849175144461375,"aryl hydrocarbon receptor interacting protein"
"SNRPN",0.4011697523266027,0.3695798546847018,"No data","No data","No data",0.22616035870869197,"No data",0.531282237856378,"small nuclear ribonucleoprotein polypeptide N"
"AIRE",0.3988978737835211,0.3695798546847018,"No data","No data","No data",0.007391597093694037,"No data",0.5830752277125218,"autoimmune regulator"
"ADRB1",0.3986468406138222,0.00026093377378355907,"No data",0.39858160717037633,"No data","No data","No data","No data","adrenoceptor beta 1"
"GUCY2C",0.39836920258255243,0.3695798546847018,"No data","No data","No data","No data","No data",0.575786957957013,"guanylate cyclase 2C"
"PDE5A",0.3969404327820884,"No data","No data",0.3944751643405463,"No data",0.04930536883084215,"No data","No data","phosphodiesterase 5A"
"MC2R",0.39469568032050817,0.3695798546847018,"No data","No data","No data","No data","No data",0.5023165127161273,"melanocortin 2 receptor"
"OPRK1",0.3921652902487669,"No data","No data",0.3921652902487669,"No data","No data","No data","No data","opioid receptor kappa 1"
"KLB",0.3867587248054414,0.3695798546847018,"No data","No data","No data",0.02207213021033636,"No data",0.3337675667657542,"klotho beta"
"OPRD1",0.3788193510518193,"No data","No data",0.3788193510518193,"No data","No data","No data","No data","opioid receptor delta 1"
"LARP7",0.3706423967669203,0.3695798546847018,"No data","No data","No data",0.02125084164437035,"No data","No data","La ribonucleoprotein 7, transcriptional regulator"
"TRPV1",0.37031901439407117,"No data","No data",0.3695798546847018,"No data",0.014783194187388073,"No data","No data","transient receptor potential cation channel subfamily V member 1"
"DMRT1",0.36994943453938645,0.3695798546847018,"No data","No data","No data",0.007391597093694037,"No data","No data","doublesex and mab-3 related transcription factor 1"
"SOX10",0.3699112037470989,0.3400134663099256,"No data","No data","No data",0.13339710836888818,"No data",0.5386671450239586,"SRY-box transcription factor 10"
"MRAP",0.3695798546847018,0.3695798546847018,"No data","No data","No data","No data","No data","No data","melanocortin 2 receptor accessory protein"
"FAAH",0.3695798546847018,"No data","No data",0.3695798546847018,"No data","No data","No data","No data","fatty acid amide hydrolase"
"NNT",0.3695798546847018,0.3695798546847018,"No data","No data","No data","No data","No data","No data","nicotinamide nucleotide transhydrogenase"
"GMNN",0.3695798546847018,0.3695798546847018,"No data","No data","No data","No data","No data","No data","geminin DNA replication inhibitor"
"P2RY12",0.3653439078509548,"No data","No data",0.3649743279962701,"No data",0.007391597093694037,"No data","No data","purinergic receptor P2Y12"
"CEP19",0.36338916053568565,0.3326218692162316,"No data","No data","No data",0.03695798546847018,"No data",0.598920055069761,"centrosomal protein 19"
"RAB3GAP1",0.33664539472310934,0.3326218692162316,"No data","No data","No data",0.0804705101375544,"No data","No data","RAB3 GTPase activating protein catalytic subunit 1"
"TNFRSF1A",0.3344697684896551,0.3326218692162316,"No data","No data","No data",0.03695798546847018,"No data","No data","TNF receptor superfamily member 1A"
"KCNN4",0.3340938387931866,"No data","No data",0.33159525850877414,"No data",0.049971605688249945,"No data","No data","potassium calcium-activated channel subfamily N member 4"
"VDR",0.3212472119670589,"No data","No data",0.28129133384335636,"No data",0.4665576935228809,"No data",0.5917585875749932,"vitamin D receptor"
"PIK3CA",0.3113622710548604,"No data",0.27718489101352634,"No data","No data",0.32756666172516874,"No data",0.5379624178377173,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
"CCDC170",0.3101491714561572,0.0001635002178748325,0.3101082964016885,"No data","No data","No data","No data","No data","coiled-coil domain containing 170"
"SCN9A",0.3069835953826752,"No data","No data",0.27718489101352634,"No data","No data","No data",0.5959740873829775,"sodium voltage-gated channel alpha subunit 9"
"KIF7",0.3049750646856188,0.2755936444169672,"No data","No data","No data",0.009239496367117545,"No data",0.5835219625432024,"kinesin family member 7"
"RRM1",0.30155214721837154,"No data","No data",0.3011825673636868,"No data",0.007391597093694037,"No data","No data","ribonucleotide reductase catalytic subunit M1"
"SCN8A",0.30151797731543173,"No data","No data",0.27718489101352634,"No data","No data","No data",0.48666172603810787,"sodium voltage-gated channel alpha subunit 8"
"PRIM1",0.3011825673636868,"No data","No data",0.3011825673636868,"No data","No data","No data","No data","DNA primase subunit 1"
"POLA2",0.3011825673636868,"No data","No data",0.3011825673636868,"No data","No data","No data","No data","DNA polymerase alpha 2, accessory subunit"
"POLE3",0.3011825673636868,"No data","No data",0.3011825673636868,"No data","No data","No data","No data","DNA polymerase epsilon 3, accessory subunit"
"POLA1",0.3011825673636868,"No data","No data",0.3011825673636868,"No data","No data","No data","No data","DNA polymerase alpha 1, catalytic subunit"
"POLD2",0.3011825673636868,"No data","No data",0.3011825673636868,"No data","No data","No data","No data","DNA polymerase delta 2, accessory subunit"
"POLD3",0.3011825673636868,"No data","No data",0.3011825673636868,"No data","No data","No data","No data","DNA polymerase delta 3, accessory subunit"
"PRIM2",0.3011825673636868,"No data","No data",0.3011825673636868,"No data","No data","No data","No data","DNA primase subunit 2"
"POLE2",0.3011825673636868,"No data","No data",0.3011825673636868,"No data","No data","No data","No data","DNA polymerase epsilon 2, accessory subunit"
